,id_expense,value,date,account_number,category_id,main_category,secondary_category,balance_account_1111,balance_account_2222,balance_account_3333,total_balance
573,574,-41.98,2023-01-25,2222,14,Leisure,Bar,8773.980000000001,-2378.2400000000002,-1473.5800000000002,4922.160000000002
938,939,-22.36,2023-01-25,3333,21,Health,Pharmacy,8773.980000000001,-2378.2400000000002,-1495.94,4899.800000000001
1675,1676,-26.4,2023-01-26,2222,14,Leisure,Bar,8773.980000000001,-2404.6400000000003,-1495.94,4873.4000000000015
1363,1364,-429.61,2023-01-26,1111,10,Holidays,Hotel Stays,8344.37,-2404.6400000000003,-1495.94,4443.790000000001
1554,1555,-351.4,2023-01-27,3333,10,Holidays,Hotel Stays,8344.37,-2404.6400000000003,-1847.3400000000001,4092.3900000000003
869,870,-40.32,2023-01-28,3333,5,Home Expenses,Water,8344.37,-2404.6400000000003,-1887.66,4052.0700000000006
650,651,-593.24,2023-01-28,1111,23,Taxes,Income Taxes,7751.130000000001,-2404.6400000000003,-1887.66,3458.830000000001
326,327,-42.52,2023-01-29,1111,3,Purchases,Home Items,7708.610000000001,-2404.6400000000003,-1887.66,3416.3100000000004
1064,1065,-30.96,2023-01-30,2222,26,Public Transports,Bus,7708.610000000001,-2435.6000000000004,-1887.66,3385.3500000000004
1743,1744,-184.57,2023-01-30,3333,18,Health,Medical Appointments,7708.610000000001,-2435.6000000000004,-2072.23,3200.78
5,6,-40.0,2023-02-01,1111,19,Health,Gym,7668.610000000001,-2435.6000000000004,-2072.23,3160.78
7,8,12000.0,2023-02-03,2222,17,Income,Salary,7668.610000000001,9564.4,-2072.23,15160.780000000002
1072,1073,-135.16,2023-02-03,3333,4,Purchases,Electronics,7668.610000000001,9564.4,-2207.39,15025.620000000003
1565,1566,-65.26,2023-02-04,2222,25,Public Transports,Train,7668.610000000001,9499.14,-2207.39,14960.36
508,509,-20.0,2023-02-04,2222,24,Telecom,Telecom,7668.610000000001,9479.14,-2207.39,14940.36
6,7,-100.0,2023-02-04,3333,20,Health,Health Insurance,7668.610000000001,9479.14,-2307.39,14840.36
1365,1366,-94.38,2023-02-05,2222,6,Home Expenses,Electricity,7668.610000000001,9384.76,-2307.39,14745.980000000003
4,5,-1200.0,2023-02-05,2222,8,Home Expenses,Rent,7668.610000000001,8184.76,-2307.39,13545.980000000001
320,321,-462.11,2023-02-06,1111,4,Purchases,Electronics,7206.500000000001,8184.76,-2307.39,13083.870000000003
156,157,-371.22,2023-02-06,1111,10,Holidays,Hotel Stays,6835.280000000001,8184.76,-2307.39,12712.650000000001
448,449,-31.04,2023-02-08,2222,25,Public Transports,Train,6835.280000000001,8153.72,-2307.39,12681.61
339,340,-30.93,2023-02-08,2222,27,Clothing,Shoes,6835.280000000001,8122.79,-2307.39,12650.68
474,475,-72.15,2023-02-10,2222,1,Car,Fuel,6835.280000000001,8050.64,-2307.39,12578.530000000002
173,174,-370.71,2023-02-10,3333,4,Purchases,Electronics,6835.280000000001,8050.64,-2678.1,12207.820000000002
1209,1210,-442.89,2023-02-12,1111,10,Holidays,Hotel Stays,6392.39,8050.64,-2678.1,11764.93
939,940,-408.98,2023-02-12,1111,4,Purchases,Electronics,5983.41,8050.64,-2678.1,11355.949999999999
1962,1963,-79.68,2023-02-12,3333,1,Car,Fuel,5983.41,8050.64,-2757.7799999999997,11276.27
868,869,-959.79,2023-02-13,1111,4,Purchases,Electronics,5023.62,8050.64,-2757.7799999999997,10316.48
1804,1805,-83.56,2023-02-14,1111,21,Health,Pharmacy,4940.0599999999995,8050.64,-2757.7799999999997,10232.920000000002
1105,1106,-516.49,2023-02-14,2222,4,Purchases,Electronics,4940.0599999999995,7534.150000000001,-2757.7799999999997,9716.43
176,177,-104.55,2023-02-15,2222,27,Clothing,Shoes,4940.0599999999995,7429.6,-2757.7799999999997,9611.880000000001
1701,1702,-612.5,2023-02-16,2222,23,Taxes,Income Taxes,4940.0599999999995,6817.1,-2757.7799999999997,8999.380000000001
1045,1046,-87.1,2023-02-16,3333,2,Car,Maintenance,4940.0599999999995,6817.1,-2844.8799999999997,8912.28
1703,1704,-191.33,2023-02-16,3333,3,Purchases,Home Items,4940.0599999999995,6817.1,-3036.2099999999996,8720.95
434,435,-131.49,2023-02-17,2222,23,Taxes,Income Taxes,4940.0599999999995,6685.610000000001,-3036.2099999999996,8589.460000000001
583,584,-43.97,2023-02-17,3333,22,Taxes,Documents,4940.0599999999995,6685.610000000001,-3080.1799999999994,8545.490000000002
1100,1101,-188.3,2023-02-17,3333,3,Purchases,Home Items,4940.0599999999995,6685.610000000001,-3268.4799999999996,8357.19
497,498,-114.79,2023-02-19,3333,18,Health,Medical Appointments,4940.0599999999995,6685.610000000001,-3383.2699999999995,8242.400000000001
1296,1297,-98.92,2023-02-19,3333,7,Home Expenses,Heating,4940.0599999999995,6685.610000000001,-3482.1899999999996,8143.4800000000005
950,951,-141.22,2023-02-19,1111,1,Car,Fuel,4798.839999999999,6685.610000000001,-3482.1899999999996,8002.260000000001
435,436,-95.13,2023-02-19,3333,15,Groceries,Groceries,4798.839999999999,6685.610000000001,-3577.3199999999997,7907.130000000001
1494,1495,-777.88,2023-02-20,2222,9,Holidays,Airplane,4798.839999999999,5907.7300000000005,-3577.3199999999997,7129.25
493,494,173.63,2023-02-21,3333,12,Income,Investiments,4798.839999999999,5907.7300000000005,-3403.6899999999996,7302.88
1092,1093,-100.52,2023-02-22,2222,7,Home Expenses,Heating,4798.839999999999,5807.21,-3403.6899999999996,7202.36
1858,1859,125.63,2023-02-22,2222,12,Income,Investiments,4798.839999999999,5932.84,-3403.6899999999996,7327.990000000001
1828,1829,-95.4,2023-02-23,3333,11,Holidays,Extra Holiday Expenses,4798.839999999999,5932.84,-3499.0899999999997,7232.59
590,591,-128.61,2023-02-24,1111,27,Clothing,Shoes,4670.23,5932.84,-3499.0899999999997,7103.98
616,617,-14.02,2023-02-24,1111,21,Health,Pharmacy,4656.209999999999,5932.84,-3499.0899999999997,7089.959999999999
1242,1243,-141.26,2023-02-24,2222,1,Car,Fuel,4656.209999999999,5791.58,-3499.0899999999997,6948.699999999999
1833,1834,-249.92,2023-02-25,1111,7,Home Expenses,Heating,4406.289999999999,5791.58,-3499.0899999999997,6698.779999999999
1624,1625,-38.32,2023-02-25,1111,26,Public Transports,Bus,4367.969999999999,5791.58,-3499.0899999999997,6660.459999999999
168,169,-41.4,2023-02-25,3333,13,Leisure,Activities,4367.969999999999,5791.58,-3540.49,6619.0599999999995
1354,1355,-251.58,2023-02-26,2222,23,Taxes,Income Taxes,4367.969999999999,5540.0,-3540.49,6367.48
414,415,-123.5,2023-02-27,1111,11,Holidays,Extra Holiday Expenses,4244.469999999999,5540.0,-3540.49,6243.98
689,690,-73.59,2023-02-27,3333,25,Public Transports,Train,4244.469999999999,5540.0,-3614.08,6170.389999999999
632,633,-22.89,2023-02-27,1111,3,Purchases,Home Items,4221.579999999999,5540.0,-3614.08,6147.499999999998
447,448,-66.36,2023-03-01,2222,15,Groceries,Groceries,4221.579999999999,5473.64,-3614.08,6081.139999999999
149,150,-94.82,2023-03-02,1111,25,Public Transports,Train,4126.759999999999,5473.64,-3614.08,5986.32
8,9,-1200.0,2023-03-02,3333,8,Home Expenses,Rent,4126.759999999999,5473.64,-4814.08,4786.32
374,375,-21.28,2023-03-02,2222,26,Public Transports,Bus,4126.759999999999,5452.360000000001,-4814.08,4765.039999999999
11,12,12000.0,2023-03-02,1111,17,Income,Salary,16126.759999999998,5452.360000000001,-4814.08,16765.04
1115,1116,-903.64,2023-03-02,2222,4,Purchases,Electronics,16126.759999999998,4548.72,-4814.08,15861.4
579,580,-78.5,2023-03-03,2222,16,Leisure,Restaurant,16126.759999999998,4470.22,-4814.08,15782.9
9,10,-40.0,2023-03-04,3333,19,Health,Gym,16126.759999999998,4470.22,-4854.08,15742.9
1557,1558,-15.15,2023-03-04,3333,25,Public Transports,Train,16126.759999999998,4470.22,-4869.23,15727.75
1324,1325,-20.0,2023-03-05,3333,24,Telecom,Telecom,16126.759999999998,4470.22,-4889.23,15707.75
10,11,-100.0,2023-03-05,1111,20,Health,Health Insurance,16026.759999999998,4470.22,-4889.23,15607.75
1708,1709,-38.79,2023-03-05,1111,5,Home Expenses,Water,15987.969999999998,4470.22,-4889.23,15568.96
1109,1110,-140.36,2023-03-06,1111,1,Car,Fuel,15847.609999999997,4470.22,-4889.23,15428.599999999999
987,988,-267.91,2023-03-07,3333,2,Car,Maintenance,15847.609999999997,4470.22,-5157.139999999999,15160.689999999999
1001,1002,-36.14,2023-03-08,1111,22,Taxes,Documents,15811.469999999998,4470.22,-5157.139999999999,15124.55
1074,1075,-85.44,2023-03-08,3333,16,Leisure,Restaurant,15811.469999999998,4470.22,-5242.579999999999,15039.11
409,410,-180.2,2023-03-08,3333,7,Home Expenses,Heating,15811.469999999998,4470.22,-5422.779999999999,14858.91
1748,1749,-159.98,2023-03-09,2222,7,Home Expenses,Heating,15811.469999999998,4310.240000000001,-5422.779999999999,14698.93
1297,1298,-9.33,2023-03-10,1111,26,Public Transports,Bus,15802.139999999998,4310.240000000001,-5422.779999999999,14689.599999999999
1346,1347,-99.89,2023-03-11,2222,1,Car,Fuel,15802.139999999998,4210.35,-5422.779999999999,14589.71
1127,1128,-100.89,2023-03-11,3333,3,Purchases,Home Items,15802.139999999998,4210.35,-5523.669999999999,14488.82
1879,1880,-64.3,2023-03-11,1111,1,Car,Fuel,15737.839999999998,4210.35,-5523.669999999999,14424.52
1408,1409,-170.08,2023-03-11,2222,4,Purchases,Electronics,15737.839999999998,4040.2700000000004,-5523.669999999999,14254.440000000002
688,689,-442.35,2023-03-12,2222,9,Holidays,Airplane,15737.839999999998,3597.9200000000005,-5523.669999999999,13812.09
755,756,-86.47,2023-03-12,3333,11,Holidays,Extra Holiday Expenses,15737.839999999998,3597.9200000000005,-5610.139999999999,13725.619999999999
1859,1860,-138.88,2023-03-12,3333,1,Car,Fuel,15737.839999999998,3597.9200000000005,-5749.0199999999995,13586.739999999998
1877,1878,-282.35,2023-03-12,3333,28,Clothing,Clothes,15737.839999999998,3597.9200000000005,-6031.37,13304.39
220,221,-114.54,2023-03-13,3333,1,Car,Fuel,15737.839999999998,3597.9200000000005,-6145.91,13189.849999999999
1443,1444,-72.89,2023-03-14,3333,22,Taxes,Documents,15737.839999999998,3597.9200000000005,-6218.8,13116.96
1502,1503,850.89,2023-03-16,2222,12,Income,Investiments,15737.839999999998,4448.81,-6218.8,13967.849999999999
377,378,-65.37,2023-03-17,3333,15,Groceries,Groceries,15737.839999999998,4448.81,-6284.17,13902.479999999998
1935,1936,-130.79,2023-03-18,2222,16,Leisure,Restaurant,15737.839999999998,4318.02,-6284.17,13771.69
1657,1658,-78.79,2023-03-20,1111,3,Purchases,Home Items,15659.049999999997,4318.02,-6284.17,13692.9
879,880,-175.68,2023-03-20,2222,4,Purchases,Electronics,15659.049999999997,4142.34,-6284.17,13517.22
683,684,-149.86,2023-03-21,1111,23,Taxes,Income Taxes,15509.189999999997,4142.34,-6284.17,13367.359999999999
1851,1852,-104.57,2023-03-21,1111,27,Clothing,Shoes,15404.619999999997,4142.34,-6284.17,13262.789999999999
1145,1146,-93.44,2023-03-22,2222,22,Taxes,Documents,15404.619999999997,4048.9,-6284.17,13169.349999999997
1431,1432,-109.84,2023-03-23,3333,1,Car,Fuel,15404.619999999997,4048.9,-6394.01,13059.509999999997
1719,1720,-42.27,2023-03-23,2222,14,Leisure,Bar,15404.619999999997,4006.63,-6394.01,13017.239999999996
303,304,-48.34,2023-03-24,3333,25,Public Transports,Train,15404.619999999997,4006.63,-6442.35,12968.899999999996
1754,1755,-102.09,2023-03-24,3333,27,Clothing,Shoes,15404.619999999997,4006.63,-6544.4400000000005,12866.809999999996
412,413,-61.46,2023-03-24,3333,13,Leisure,Activities,15404.619999999997,4006.63,-6605.900000000001,12805.349999999995
1958,1959,-642.54,2023-03-25,1111,9,Holidays,Airplane,14762.079999999998,4006.63,-6605.900000000001,12162.809999999998
713,714,-31.21,2023-03-27,1111,26,Public Transports,Bus,14730.869999999999,4006.63,-6605.900000000001,12131.599999999999
840,841,-208.52,2023-03-28,3333,28,Clothing,Clothes,14730.869999999999,4006.63,-6814.420000000001,11923.079999999998
205,206,-29.78,2023-03-28,3333,26,Public Transports,Bus,14730.869999999999,4006.63,-6844.200000000001,11893.3
1478,1479,-40.61,2023-03-28,1111,14,Leisure,Bar,14690.259999999998,4006.63,-6844.200000000001,11852.689999999999
528,529,-133.89,2023-03-28,2222,16,Leisure,Restaurant,14690.259999999998,3872.7400000000002,-6844.200000000001,11718.8
1030,1031,-538.7,2023-03-29,3333,10,Holidays,Hotel Stays,14690.259999999998,3872.7400000000002,-7382.900000000001,11180.099999999999
289,290,-5.26,2023-03-31,3333,26,Public Transports,Bus,14690.259999999998,3872.7400000000002,-7388.160000000001,11174.84
610,611,-166.87,2023-03-31,1111,23,Taxes,Income Taxes,14523.389999999998,3872.7400000000002,-7388.160000000001,11007.969999999998
940,941,-126.34,2023-03-31,1111,1,Car,Fuel,14397.049999999997,3872.7400000000002,-7388.160000000001,10881.629999999997
490,491,-56.55,2023-03-31,3333,13,Leisure,Activities,14397.049999999997,3872.7400000000002,-7444.710000000001,10825.079999999996
1470,1471,-20.0,2023-04-01,2222,24,Telecom,Telecom,14397.049999999997,3852.7400000000002,-7444.710000000001,10805.079999999996
14,15,-100.0,2023-04-01,2222,20,Health,Health Insurance,14397.049999999997,3752.7400000000002,-7444.710000000001,10705.079999999996
268,269,-158.42,2023-04-01,1111,10,Holidays,Hotel Stays,14238.629999999997,3752.7400000000002,-7444.710000000001,10546.659999999998
418,419,-16.08,2023-04-02,2222,13,Leisure,Activities,14238.629999999997,3736.6600000000003,-7444.710000000001,10530.579999999996
1002,1003,-142.52,2023-04-02,3333,10,Holidays,Hotel Stays,14238.629999999997,3736.6600000000003,-7587.230000000001,10388.059999999996
315,316,-134.29,2023-04-03,1111,6,Home Expenses,Electricity,14104.339999999997,3736.6600000000003,-7587.230000000001,10253.769999999995
1201,1202,-672.57,2023-04-03,1111,9,Holidays,Airplane,13431.769999999997,3736.6600000000003,-7587.230000000001,9581.199999999995
167,168,-37.6,2023-04-03,1111,2,Car,Maintenance,13394.169999999996,3736.6600000000003,-7587.230000000001,9543.599999999997
262,263,-48.52,2023-04-04,1111,26,Public Transports,Bus,13345.649999999996,3736.6600000000003,-7587.230000000001,9495.079999999996
1330,1331,-72.71,2023-04-04,1111,1,Car,Fuel,13272.939999999997,3736.6600000000003,-7587.230000000001,9422.369999999997
12,13,-1200.0,2023-04-04,2222,8,Home Expenses,Rent,13272.939999999997,2536.6600000000003,-7587.230000000001,8222.369999999995
915,916,-212.55,2023-04-04,3333,4,Purchases,Electronics,13272.939999999997,2536.6600000000003,-7799.780000000002,8009.819999999995
13,14,-40.0,2023-04-05,2222,19,Health,Gym,13272.939999999997,2496.6600000000003,-7799.780000000002,7969.819999999995
15,16,12000.0,2023-04-05,2222,17,Income,Salary,13272.939999999997,14496.66,-7799.780000000002,19969.819999999996
1860,1861,-57.41,2023-04-06,3333,5,Home Expenses,Water,13272.939999999997,14496.66,-7857.190000000001,19912.409999999996
352,353,-108.68,2023-04-07,1111,11,Holidays,Extra Holiday Expenses,13164.259999999997,14496.66,-7857.190000000001,19803.729999999996
309,310,-48.5,2023-04-08,3333,21,Health,Pharmacy,13164.259999999997,14496.66,-7905.690000000001,19755.229999999996
1941,1942,-476.63,2023-04-08,2222,9,Holidays,Airplane,13164.259999999997,14020.03,-7905.690000000001,19278.599999999995
182,183,-143.22,2023-04-08,2222,7,Home Expenses,Heating,13164.259999999997,13876.810000000001,-7905.690000000001,19135.379999999997
886,887,-111.74,2023-04-08,1111,15,Groceries,Groceries,13052.519999999997,13876.810000000001,-7905.690000000001,19023.639999999996
1181,1182,-284.89,2023-04-11,3333,10,Holidays,Hotel Stays,13052.519999999997,13876.810000000001,-8190.580000000002,18738.749999999996
1472,1473,-25.08,2023-04-11,3333,22,Taxes,Documents,13052.519999999997,13876.810000000001,-8215.660000000002,18713.67
1139,1140,278.34,2023-04-12,2222,12,Income,Investiments,13052.519999999997,14155.150000000001,-8215.660000000002,18992.009999999995
1185,1186,-77.3,2023-04-13,3333,15,Groceries,Groceries,13052.519999999997,14155.150000000001,-8292.960000000001,18914.71
1759,1760,-560.09,2023-04-15,2222,4,Purchases,Electronics,13052.519999999997,13595.060000000001,-8292.960000000001,18354.619999999995
917,918,-38.11,2023-04-16,3333,5,Home Expenses,Water,13052.519999999997,13595.060000000001,-8331.070000000002,18316.509999999995
1086,1087,-45.4,2023-04-16,3333,25,Public Transports,Train,13052.519999999997,13595.060000000001,-8376.470000000001,18271.109999999997
1392,1393,-62.74,2023-04-16,3333,28,Clothing,Clothes,13052.519999999997,13595.060000000001,-8439.210000000001,18208.369999999995
1099,1100,-39.67,2023-04-16,2222,14,Leisure,Bar,13052.519999999997,13555.390000000001,-8439.210000000001,18168.699999999997
234,235,-24.92,2023-04-17,3333,27,Clothing,Shoes,13052.519999999997,13555.390000000001,-8464.130000000001,18143.779999999995
506,507,-693.69,2023-04-17,2222,4,Purchases,Electronics,13052.519999999997,12861.7,-8464.130000000001,17450.089999999997
487,488,-70.58,2023-04-17,2222,25,Public Transports,Train,13052.519999999997,12791.12,-8464.130000000001,17379.51
260,261,-579.15,2023-04-17,2222,4,Purchases,Electronics,13052.519999999997,12211.970000000001,-8464.130000000001,16800.359999999997
1539,1540,-181.27,2023-04-17,1111,3,Purchases,Home Items,12871.249999999996,12211.970000000001,-8464.130000000001,16619.089999999997
629,630,-75.5,2023-04-18,3333,27,Clothing,Shoes,12871.249999999996,12211.970000000001,-8539.630000000001,16543.589999999997
1155,1156,-143.41,2023-04-18,2222,1,Car,Fuel,12871.249999999996,12068.560000000001,-8539.630000000001,16400.179999999997
760,761,-900.41,2023-04-18,1111,9,Holidays,Airplane,11970.839999999997,12068.560000000001,-8539.630000000001,15499.769999999997
773,774,-76.94,2023-04-18,1111,18,Health,Medical Appointments,11893.899999999996,12068.560000000001,-8539.630000000001,15422.829999999998
1351,1352,-24.4,2023-04-18,3333,26,Public Transports,Bus,11893.899999999996,12068.560000000001,-8564.03,15398.429999999998
1180,1181,-176.98,2023-04-19,2222,15,Groceries,Groceries,11893.899999999996,11891.580000000002,-8564.03,15221.449999999995
1974,1975,-387.13,2023-04-19,2222,10,Holidays,Hotel Stays,11893.899999999996,11504.450000000003,-8564.03,14834.319999999998
1582,1583,-65.84,2023-04-20,2222,28,Clothing,Clothes,11893.899999999996,11438.610000000002,-8564.03,14768.479999999998
766,767,-39.7,2023-04-21,3333,5,Home Expenses,Water,11893.899999999996,11438.610000000002,-8603.730000000001,14728.779999999997
1465,1466,-149.67,2023-04-22,2222,15,Groceries,Groceries,11893.899999999996,11288.940000000002,-8603.730000000001,14579.109999999995
221,222,-40.95,2023-04-22,3333,26,Public Transports,Bus,11893.899999999996,11288.940000000002,-8644.680000000002,14538.159999999994
1638,1639,-23.08,2023-04-22,2222,26,Public Transports,Bus,11893.899999999996,11265.860000000002,-8644.680000000002,14515.079999999996
1247,1248,-51.42,2023-04-22,1111,21,Health,Pharmacy,11842.479999999996,11265.860000000002,-8644.680000000002,14463.659999999994
522,523,-83.73,2023-04-22,2222,21,Health,Pharmacy,11842.479999999996,11182.130000000003,-8644.680000000002,14379.929999999998
206,207,-167.34,2023-04-24,1111,18,Health,Medical Appointments,11675.139999999996,11182.130000000003,-8644.680000000002,14212.589999999995
216,217,-73.09,2023-04-25,2222,16,Leisure,Restaurant,11675.139999999996,11109.040000000003,-8644.680000000002,14139.499999999998
946,947,-73.18,2023-04-25,3333,18,Health,Medical Appointments,11675.139999999996,11109.040000000003,-8717.860000000002,14066.319999999998
993,994,-168.09,2023-04-25,1111,7,Home Expenses,Heating,11507.049999999996,11109.040000000003,-8717.860000000002,13898.229999999994
170,171,-47.07,2023-04-26,3333,13,Leisure,Activities,11507.049999999996,11109.040000000003,-8764.930000000002,13851.159999999994
1331,1332,-97.48,2023-04-27,1111,28,Clothing,Clothes,11409.569999999996,11109.040000000003,-8764.930000000002,13753.679999999998
1356,1357,-280.71,2023-04-27,1111,28,Clothing,Clothes,11128.859999999997,11109.040000000003,-8764.930000000002,13472.97
521,522,-35.52,2023-04-28,1111,26,Public Transports,Bus,11093.339999999997,11109.040000000003,-8764.930000000002,13437.449999999995
378,379,-23.59,2023-04-29,3333,25,Public Transports,Train,11093.339999999997,11109.040000000003,-8788.520000000002,13413.859999999995
1306,1307,-20.0,2023-05-01,1111,24,Telecom,Telecom,11073.339999999997,11109.040000000003,-8788.520000000002,13393.859999999995
18,19,-100.0,2023-05-01,1111,20,Health,Health Insurance,10973.339999999997,11109.040000000003,-8788.520000000002,13293.859999999995
19,20,12000.0,2023-05-02,2222,17,Income,Salary,10973.339999999997,23109.04,-8788.520000000002,25293.859999999993
1314,1315,-153.6,2023-05-02,1111,7,Home Expenses,Heating,10819.739999999996,23109.04,-8788.520000000002,25140.259999999995
1718,1719,-174.16,2023-05-03,2222,18,Health,Medical Appointments,10819.739999999996,22934.88,-8788.520000000002,24966.09999999999
516,517,-53.91,2023-05-04,1111,5,Home Expenses,Water,10765.829999999996,22934.88,-8788.520000000002,24912.189999999995
1811,1812,-169.71,2023-05-04,3333,18,Health,Medical Appointments,10765.829999999996,22934.88,-8958.230000000001,24742.479999999996
16,17,-1200.0,2023-05-04,3333,8,Home Expenses,Rent,10765.829999999996,22934.88,-10158.230000000001,23542.479999999996
17,18,-40.0,2023-05-04,1111,19,Health,Gym,10725.829999999996,22934.88,-10158.230000000001,23502.479999999996
