,id_expense,value,date,account_number,category_id,main_category,secondary_category,essential
125,126,-40.0,2025-08-03,3333,19,Health,Gym,Essentials
126,127,-100.0,2025-08-01,1111,20,Health,Health Insurance,Essentials
128,129,-1200.0,2025-09-01,2222,8,Home Expenses,Rent,Essentials
129,130,-40.0,2025-09-03,2222,19,Health,Gym,Essentials
130,131,-100.0,2025-09-05,3333,20,Health,Health Insurance,Essentials
132,133,-1200.0,2025-10-04,1111,8,Home Expenses,Rent,Essentials
133,134,-40.0,2025-10-05,2222,19,Health,Gym,Essentials
134,135,-100.0,2025-10-03,2222,20,Health,Health Insurance,Essentials
136,137,-1200.0,2025-11-04,3333,8,Home Expenses,Rent,Essentials
137,138,-40.0,2025-11-03,1111,19,Health,Gym,Essentials
138,139,-100.0,2025-11-01,3333,20,Health,Health Insurance,Essentials
140,141,-426.55,2023-06-24,1111,4,Purchases,Electronics,Non-Essentials
141,142,-41.84,2023-07-28,3333,5,Home Expenses,Water,Essentials
142,143,-56.47,2024-02-12,2222,6,Home Expenses,Electricity,Essentials
143,144,-210.89,2025-04-07,1111,7,Home Expenses,Heating,Essentials
144,145,-1038.11,2025-10-19,2222,9,Holidays,Airplane,Non-Essentials
145,146,-157.87,2024-07-13,3333,27,Clothing,Shoes,Non-Essentials
146,147,-21.02,2025-04-08,2222,14,Leisure,Bar,Non-Essentials
147,148,-35.1,2025-07-20,1111,21,Health,Pharmacy,Essentials
148,149,-288.16,2025-10-15,1111,4,Purchases,Electronics,Non-Essentials
149,150,-94.82,2023-03-02,1111,25,Public Transports,Train,Essentials
150,151,-44.27,2023-05-20,2222,28,Clothing,Clothes,Non-Essentials
151,152,-6.2,2024-01-02,2222,26,Public Transports,Bus,Essentials
152,153,-63.96,2023-11-09,2222,16,Leisure,Restaurant,Non-Essentials
153,154,-20.0,2024-08-02,3333,24,Telecom,Telecom,Essentials
154,155,-79.08,2025-08-12,1111,21,Health,Pharmacy,Essentials
155,156,-215.52,2025-10-01,3333,11,Holidays,Extra Holiday Expenses,Non-Essentials
156,157,-371.22,2023-02-06,1111,10,Holidays,Hotel Stays,Non-Essentials
157,158,-270.03,2023-09-01,2222,15,Groceries,Groceries,Essentials
158,159,-60.89,2025-02-09,2222,16,Leisure,Restaurant,Non-Essentials
159,160,-24.68,2023-12-29,3333,16,Leisure,Restaurant,Non-Essentials
160,161,-43.72,2024-09-12,3333,26,Public Transports,Bus,Essentials
161,162,-99.15,2023-10-03,2222,6,Home Expenses,Electricity,Essentials
162,163,-90.03,2023-08-13,3333,27,Clothing,Shoes,Non-Essentials
163,164,-27.07,2025-08-20,2222,26,Public Transports,Bus,Essentials
164,165,-88.35,2025-11-03,1111,16,Leisure,Restaurant,Non-Essentials
165,166,-16.85,2025-02-12,3333,14,Leisure,Bar,Non-Essentials
166,167,-20.87,2024-08-05,2222,26,Public Transports,Bus,Essentials
167,168,-37.6,2023-04-03,1111,2,Car,Maintenance,Essentials
168,169,-41.4,2023-02-25,3333,13,Leisure,Activities,Non-Essentials
170,171,-47.07,2023-04-26,3333,13,Leisure,Activities,Non-Essentials
171,172,-447.61,2024-10-01,3333,9,Holidays,Airplane,Non-Essentials
172,173,-183.87,2023-05-15,2222,3,Purchases,Home Items,Non-Essentials
173,174,-370.71,2023-02-10,3333,4,Purchases,Electronics,Non-Essentials
175,176,-91.13,2024-06-30,1111,21,Health,Pharmacy,Essentials
176,177,-104.55,2023-02-15,2222,27,Clothing,Shoes,Non-Essentials
177,178,-30.67,2024-10-22,3333,14,Leisure,Bar,Non-Essentials
178,179,-817.91,2023-07-24,3333,4,Purchases,Electronics,Non-Essentials
179,180,-14.27,2025-10-14,3333,26,Public Transports,Bus,Essentials
180,181,-20.28,2024-09-05,2222,26,Public Transports,Bus,Essentials
181,182,-100.44,2023-06-04,3333,15,Groceries,Groceries,Essentials
182,183,-143.22,2023-04-08,2222,7,Home Expenses,Heating,Essentials
183,184,-381.42,2024-04-07,3333,23,Taxes,Income Taxes,Essentials
184,185,-288.64,2023-07-14,3333,28,Clothing,Clothes,Non-Essentials
186,187,-156.41,2023-06-07,3333,7,Home Expenses,Heating,Essentials
187,188,-176.16,2024-09-06,2222,11,Holidays,Extra Holiday Expenses,Non-Essentials
188,189,-29.3,2024-02-14,2222,26,Public Transports,Bus,Essentials
189,190,-16.31,2025-11-21,2222,14,Leisure,Bar,Non-Essentials
190,191,-39.35,2024-01-05,1111,26,Public Transports,Bus,Essentials
191,192,-73.3,2024-01-18,3333,25,Public Transports,Train,Essentials
192,193,-81.94,2025-08-15,2222,18,Health,Medical Appointments,Essentials
193,194,-57.94,2025-06-07,3333,25,Public Transports,Train,Essentials
194,195,-199.22,2024-02-15,2222,28,Clothing,Clothes,Non-Essentials
195,196,-39.21,2023-11-05,3333,16,Leisure,Restaurant,Non-Essentials
196,197,-39.45,2025-06-10,2222,26,Public Transports,Bus,Essentials
198,199,-266.11,2024-06-30,2222,7,Home Expenses,Heating,Essentials
199,200,-24.45,2024-04-28,2222,25,Public Transports,Train,Essentials
200,201,-313.56,2024-01-29,1111,9,Holidays,Airplane,Non-Essentials
201,202,-997.04,2024-09-27,2222,9,Holidays,Airplane,Non-Essentials
202,203,-133.97,2025-06-12,2222,18,Health,Medical Appointments,Essentials
203,204,-91.51,2024-02-18,1111,25,Public Transports,Train,Essentials
204,205,-168.22,2024-06-13,2222,10,Holidays,Hotel Stays,Non-Essentials
205,206,-29.78,2023-03-28,3333,26,Public Transports,Bus,Essentials
206,207,-167.34,2023-04-24,1111,18,Health,Medical Appointments,Essentials
208,209,-70.45,2023-07-04,2222,13,Leisure,Activities,Non-Essentials
209,210,-257.54,2024-04-28,1111,28,Clothing,Clothes,Non-Essentials
210,211,-614.14,2023-09-05,3333,23,Taxes,Income Taxes,Essentials
211,212,-42.3,2024-05-30,2222,26,Public Transports,Bus,Essentials
212,213,-62.85,2023-09-08,2222,3,Purchases,Home Items,Non-Essentials
214,215,-93.7,2025-05-16,1111,28,Clothing,Clothes,Non-Essentials
215,216,-33.2,2024-03-14,2222,5,Home Expenses,Water,Essentials
216,217,-73.09,2023-04-25,2222,16,Leisure,Restaurant,Non-Essentials
217,218,-49.98,2023-08-20,2222,22,Taxes,Documents,Essentials
218,219,-53.9,2024-05-19,2222,16,Leisure,Restaurant,Non-Essentials
219,220,-40.89,2025-01-23,2222,5,Home Expenses,Water,Essentials
220,221,-114.54,2023-03-13,3333,1,Car,Fuel,Essentials
221,222,-40.95,2023-04-22,3333,26,Public Transports,Bus,Essentials
222,223,-15.79,2025-02-26,2222,26,Public Transports,Bus,Essentials
223,224,-96.26,2025-01-13,3333,25,Public Transports,Train,Essentials
224,225,-558.17,2024-04-29,2222,4,Purchases,Electronics,Non-Essentials
225,226,-5.35,2025-03-15,2222,14,Leisure,Bar,Non-Essentials
226,227,-72.56,2024-04-27,2222,11,Holidays,Extra Holiday Expenses,Non-Essentials
227,228,-269.07,2023-11-25,2222,7,Home Expenses,Heating,Essentials
228,229,-38.55,2025-04-12,1111,25,Public Transports,Train,Essentials
229,230,-533.22,2025-10-03,2222,10,Holidays,Hotel Stays,Non-Essentials
230,231,-141.5,2024-11-12,3333,28,Clothing,Clothes,Non-Essentials
231,232,-269.19,2023-07-25,1111,15,Groceries,Groceries,Essentials
232,233,-66.97,2023-05-16,2222,27,Clothing,Shoes,Non-Essentials
233,234,-200.53,2024-10-31,2222,15,Groceries,Groceries,Essentials
234,235,-24.92,2023-04-17,3333,27,Clothing,Shoes,Non-Essentials
235,236,-26.54,2025-06-27,3333,25,Public Transports,Train,Essentials
236,237,-30.09,2024-02-14,3333,5,Home Expenses,Water,Essentials
237,238,-128.43,2023-06-18,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
238,239,-74.96,2023-09-24,3333,6,Home Expenses,Electricity,Essentials
239,240,-23.46,2024-10-16,2222,26,Public Transports,Bus,Essentials
240,241,-181.03,2023-10-01,2222,18,Health,Medical Appointments,Essentials
241,242,-118.75,2024-11-01,2222,6,Home Expenses,Electricity,Essentials
242,243,-98.57,2025-01-22,1111,7,Home Expenses,Heating,Essentials
243,244,-44.44,2024-04-04,1111,14,Leisure,Bar,Non-Essentials
244,245,-142.31,2024-04-13,1111,1,Car,Fuel,Essentials
245,246,-45.77,2023-12-12,1111,16,Leisure,Restaurant,Non-Essentials
246,247,-32.81,2024-06-16,1111,14,Leisure,Bar,Non-Essentials
247,248,-192.45,2023-12-15,3333,3,Purchases,Home Items,Non-Essentials
248,249,-63.41,2025-06-10,2222,4,Purchases,Electronics,Non-Essentials
249,250,-27.24,2024-04-04,3333,26,Public Transports,Bus,Essentials
250,251,-121.92,2024-06-29,2222,7,Home Expenses,Heating,Essentials
251,252,-163.43,2023-09-24,2222,28,Clothing,Clothes,Non-Essentials
252,253,-212.02,2024-08-02,3333,7,Home Expenses,Heating,Essentials
253,254,-13.52,2024-01-05,2222,26,Public Transports,Bus,Essentials
254,255,-30.86,2024-06-20,1111,5,Home Expenses,Water,Essentials
255,256,-52.55,2024-05-23,2222,16,Leisure,Restaurant,Non-Essentials
256,257,-578.99,2025-07-27,1111,23,Taxes,Income Taxes,Essentials
257,258,-96.89,2024-10-24,3333,1,Car,Fuel,Essentials
258,259,-35.91,2025-02-24,3333,14,Leisure,Bar,Non-Essentials
259,260,-234.03,2024-06-08,1111,15,Groceries,Groceries,Essentials
260,261,-579.15,2023-04-17,2222,4,Purchases,Electronics,Non-Essentials
261,262,-670.93,2024-12-26,3333,9,Holidays,Airplane,Non-Essentials
262,263,-48.52,2023-04-04,1111,26,Public Transports,Bus,Essentials
263,264,-352.27,2025-02-19,2222,10,Holidays,Hotel Stays,Non-Essentials
264,265,-35.21,2023-09-28,3333,14,Leisure,Bar,Non-Essentials
265,266,-186.73,2024-06-17,1111,2,Car,Maintenance,Essentials
266,267,-54.36,2024-11-25,2222,21,Health,Pharmacy,Essentials
267,268,-32.69,2025-06-05,1111,5,Home Expenses,Water,Essentials
268,269,-158.42,2023-04-01,1111,10,Holidays,Hotel Stays,Non-Essentials
269,270,-180.75,2024-07-29,3333,18,Health,Medical Appointments,Essentials
270,271,-93.36,2024-08-02,2222,13,Leisure,Activities,Non-Essentials
271,272,-71.48,2024-06-24,3333,16,Leisure,Restaurant,Non-Essentials
273,274,-298.53,2023-11-06,3333,28,Clothing,Clothes,Non-Essentials
274,275,-33.65,2025-06-20,1111,26,Public Transports,Bus,Essentials
275,276,-112.7,2024-04-15,1111,7,Home Expenses,Heating,Essentials
276,277,-156.97,2023-12-01,3333,2,Car,Maintenance,Essentials
277,278,-76.74,2025-10-10,1111,16,Leisure,Restaurant,Non-Essentials
278,279,-66.35,2025-09-20,2222,16,Leisure,Restaurant,Non-Essentials
279,280,-66.87,2023-10-31,1111,18,Health,Medical Appointments,Essentials
280,281,-18.42,2024-08-04,1111,13,Leisure,Activities,Non-Essentials
281,282,-124.99,2024-07-12,3333,6,Home Expenses,Electricity,Essentials
282,283,-31.36,2023-01-09,3333,26,Public Transports,Bus,Essentials
283,284,-226.4,2023-06-07,1111,23,Taxes,Income Taxes,Essentials
284,285,-151.54,2024-11-04,1111,18,Health,Medical Appointments,Essentials
285,286,-220.33,2023-09-07,2222,11,Holidays,Extra Holiday Expenses,Non-Essentials
286,287,-63.13,2023-08-06,2222,13,Leisure,Activities,Non-Essentials
287,288,-30.87,2025-07-31,3333,5,Home Expenses,Water,Essentials
288,289,-26.59,2024-07-05,3333,26,Public Transports,Bus,Essentials
289,290,-5.26,2023-03-31,3333,26,Public Transports,Bus,Essentials
290,291,-77.54,2024-10-27,3333,16,Leisure,Restaurant,Non-Essentials
291,292,-274.86,2023-09-22,1111,28,Clothing,Clothes,Non-Essentials
292,293,-246.42,2024-08-02,2222,2,Car,Maintenance,Essentials
293,294,-230.83,2025-02-20,1111,2,Car,Maintenance,Essentials
294,295,-16.48,2024-05-06,2222,14,Leisure,Bar,Non-Essentials
295,296,-23.69,2024-03-02,1111,3,Purchases,Home Items,Non-Essentials
296,297,-40.08,2024-08-06,3333,14,Leisure,Bar,Non-Essentials
297,298,-23.87,2024-09-03,2222,25,Public Transports,Train,Essentials
298,299,-233.97,2024-09-27,3333,15,Groceries,Groceries,Essentials
299,300,-20.0,2025-04-01,2222,24,Telecom,Telecom,Essentials
300,301,-27.99,2025-07-01,2222,21,Health,Pharmacy,Essentials
301,302,-90.27,2025-05-16,1111,18,Health,Medical Appointments,Essentials
302,303,-252.75,2024-01-17,2222,15,Groceries,Groceries,Essentials
303,304,-48.34,2023-03-24,3333,25,Public Transports,Train,Essentials
305,306,-37.11,2025-10-11,3333,26,Public Transports,Bus,Essentials
306,307,-68.25,2023-06-21,2222,25,Public Transports,Train,Essentials
307,308,-76.86,2025-09-05,2222,16,Leisure,Restaurant,Non-Essentials
308,309,-59.53,2024-09-07,1111,5,Home Expenses,Water,Essentials
309,310,-48.5,2023-04-08,3333,21,Health,Pharmacy,Essentials
310,311,-185.11,2025-11-17,1111,3,Purchases,Home Items,Non-Essentials
311,312,-48.24,2023-07-13,2222,21,Health,Pharmacy,Essentials
312,313,-37.41,2024-06-02,2222,26,Public Transports,Bus,Essentials
313,314,-392.78,2025-10-28,1111,10,Holidays,Hotel Stays,Non-Essentials
314,315,-753.49,2025-08-05,1111,4,Purchases,Electronics,Non-Essentials
315,316,-134.29,2023-04-03,1111,6,Home Expenses,Electricity,Essentials
316,317,-269.19,2024-09-01,2222,15,Groceries,Groceries,Essentials
317,318,-606.87,2025-07-10,3333,23,Taxes,Income Taxes,Essentials
318,319,-270.67,2024-01-19,1111,10,Holidays,Hotel Stays,Non-Essentials
319,320,-57.82,2024-06-15,3333,6,Home Expenses,Electricity,Essentials
320,321,-462.11,2023-02-06,1111,4,Purchases,Electronics,Non-Essentials
321,322,-10.25,2023-12-18,3333,14,Leisure,Bar,Non-Essentials
322,323,-119.02,2025-04-09,3333,18,Health,Medical Appointments,Essentials
323,324,-192.51,2025-09-23,2222,28,Clothing,Clothes,Non-Essentials
324,325,-70.66,2025-01-08,3333,16,Leisure,Restaurant,Non-Essentials
325,326,-48.34,2025-03-19,2222,26,Public Transports,Bus,Essentials
326,327,-42.52,2023-01-29,1111,3,Purchases,Home Items,Non-Essentials
327,328,-825.17,2024-01-21,1111,4,Purchases,Electronics,Non-Essentials
328,329,-185.85,2023-10-25,3333,7,Home Expenses,Heating,Essentials
329,330,-635.79,2024-01-26,1111,9,Holidays,Airplane,Non-Essentials
330,331,-242.43,2023-10-31,2222,11,Holidays,Extra Holiday Expenses,Non-Essentials
331,332,-55.45,2023-12-07,1111,15,Groceries,Groceries,Essentials
332,333,-219.7,2025-09-20,2222,28,Clothing,Clothes,Non-Essentials
333,334,-135.98,2024-05-11,1111,1,Car,Fuel,Essentials
334,335,-192.36,2025-03-13,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
336,337,-160.56,2024-08-18,1111,18,Health,Medical Appointments,Essentials
337,338,-109.95,2025-11-17,3333,18,Health,Medical Appointments,Essentials
338,339,-195.1,2025-09-26,1111,28,Clothing,Clothes,Non-Essentials
339,340,-30.93,2023-02-08,2222,27,Clothing,Shoes,Non-Essentials
340,341,-321.1,2023-05-11,2222,23,Taxes,Income Taxes,Essentials
341,342,-47.54,2025-08-27,1111,25,Public Transports,Train,Essentials
342,343,-143.4,2024-12-11,2222,18,Health,Medical Appointments,Essentials
343,344,-98.52,2023-11-27,2222,27,Clothing,Shoes,Non-Essentials
344,345,-81.89,2024-12-05,2222,28,Clothing,Clothes,Non-Essentials
345,346,-707.64,2024-11-25,3333,9,Holidays,Airplane,Non-Essentials
346,347,-138.25,2023-09-26,2222,27,Clothing,Shoes,Non-Essentials
347,348,-222.07,2025-05-03,3333,28,Clothing,Clothes,Non-Essentials
348,349,-76.11,2025-08-25,1111,25,Public Transports,Train,Essentials
349,350,-20.0,2025-02-02,3333,24,Telecom,Telecom,Essentials
350,351,-69.36,2024-02-13,1111,18,Health,Medical Appointments,Essentials
351,352,-54.61,2025-05-01,2222,16,Leisure,Restaurant,Non-Essentials
352,353,-108.68,2023-04-07,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
353,354,-89.28,2025-01-01,3333,13,Leisure,Activities,Non-Essentials
354,355,-67.47,2025-10-28,1111,6,Home Expenses,Electricity,Essentials
355,356,-80.79,2023-08-22,3333,3,Purchases,Home Items,Non-Essentials
356,357,-320.69,2024-04-03,2222,9,Holidays,Airplane,Non-Essentials
357,358,-596.83,2024-12-28,1111,10,Holidays,Hotel Stays,Non-Essentials
358,359,-41.4,2023-11-06,3333,16,Leisure,Restaurant,Non-Essentials
359,360,-64.39,2023-08-02,3333,21,Health,Pharmacy,Essentials
360,361,-280.19,2025-06-15,2222,2,Car,Maintenance,Essentials
361,362,-975.93,2023-07-28,3333,4,Purchases,Electronics,Non-Essentials
362,363,-166.97,2023-12-09,3333,2,Car,Maintenance,Essentials
363,364,-877.33,2025-01-10,1111,4,Purchases,Electronics,Non-Essentials
364,365,-108.87,2025-06-23,3333,28,Clothing,Clothes,Non-Essentials
365,366,-159.88,2023-07-23,1111,18,Health,Medical Appointments,Essentials
366,367,-42.74,2023-10-10,1111,25,Public Transports,Train,Essentials
367,368,-176.6,2025-05-01,1111,7,Home Expenses,Heating,Essentials
368,369,-1034.81,2025-08-28,2222,9,Holidays,Airplane,Non-Essentials
369,370,-176.26,2023-06-24,2222,11,Holidays,Extra Holiday Expenses,Non-Essentials
370,371,-74.37,2025-04-29,2222,13,Leisure,Activities,Non-Essentials
371,372,-69.85,2023-11-07,3333,25,Public Transports,Train,Essentials
372,373,-246.8,2023-10-10,2222,15,Groceries,Groceries,Essentials
373,374,-279.51,2025-07-28,3333,15,Groceries,Groceries,Essentials
374,375,-21.28,2023-03-02,2222,26,Public Transports,Bus,Essentials
375,376,-53.1,2025-11-25,1111,5,Home Expenses,Water,Essentials
376,377,-80.89,2025-04-02,1111,3,Purchases,Home Items,Non-Essentials
377,378,-65.37,2023-03-17,3333,15,Groceries,Groceries,Essentials
378,379,-23.59,2023-04-29,3333,25,Public Transports,Train,Essentials
379,380,-163.83,2024-08-28,2222,27,Clothing,Shoes,Non-Essentials
380,381,-44.86,2024-09-15,3333,14,Leisure,Bar,Non-Essentials
381,382,-114.7,2024-12-05,1111,28,Clothing,Clothes,Non-Essentials
382,383,-550.1,2023-10-28,3333,10,Holidays,Hotel Stays,Non-Essentials
383,384,-25.08,2024-02-25,3333,14,Leisure,Bar,Non-Essentials
384,385,-69.42,2025-06-24,3333,16,Leisure,Restaurant,Non-Essentials
385,386,-89.89,2025-04-08,1111,13,Leisure,Activities,Non-Essentials
386,387,-71.07,2024-11-16,2222,11,Holidays,Extra Holiday Expenses,Non-Essentials
387,388,-224.1,2023-09-16,3333,28,Clothing,Clothes,Non-Essentials
388,389,-42.71,2023-07-10,3333,16,Leisure,Restaurant,Non-Essentials
389,390,-44.98,2024-11-28,3333,16,Leisure,Restaurant,Non-Essentials
390,391,-52.34,2024-06-13,1111,6,Home Expenses,Electricity,Essentials
391,392,-231.63,2025-10-31,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
392,393,-46.19,2025-02-02,2222,28,Clothing,Clothes,Non-Essentials
393,394,-55.67,2023-09-11,1111,25,Public Transports,Train,Essentials
394,395,-94.72,2025-07-08,2222,25,Public Transports,Train,Essentials
395,396,-615.8,2025-07-17,2222,23,Taxes,Income Taxes,Essentials
396,397,-1005.39,2024-04-23,2222,9,Holidays,Airplane,Non-Essentials
397,398,-121.13,2023-10-14,3333,11,Holidays,Extra Holiday Expenses,Non-Essentials
398,399,-28.38,2024-05-22,1111,14,Leisure,Bar,Non-Essentials
400,401,-32.74,2025-05-21,2222,16,Leisure,Restaurant,Non-Essentials
401,402,-36.6,2025-05-20,1111,3,Purchases,Home Items,Non-Essentials
402,403,-82.22,2023-06-09,2222,18,Health,Medical Appointments,Essentials
403,404,-28.68,2025-03-19,2222,26,Public Transports,Bus,Essentials
404,405,-449.18,2025-05-17,2222,23,Taxes,Income Taxes,Essentials
405,406,-187.59,2025-09-29,3333,27,Clothing,Shoes,Non-Essentials
406,407,-255.95,2023-10-23,3333,15,Groceries,Groceries,Essentials
407,408,-44.54,2025-07-26,1111,5,Home Expenses,Water,Essentials
408,409,-112.37,2023-08-30,3333,27,Clothing,Shoes,Non-Essentials
409,410,-180.2,2023-03-08,3333,7,Home Expenses,Heating,Essentials
410,411,-144.41,2025-01-26,1111,6,Home Expenses,Electricity,Essentials
411,412,-20.0,2025-07-04,1111,24,Telecom,Telecom,Essentials
412,413,-61.46,2023-03-24,3333,13,Leisure,Activities,Non-Essentials
413,414,-33.53,2024-09-16,2222,5,Home Expenses,Water,Essentials
414,415,-123.5,2023-02-27,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
415,416,-53.51,2025-05-13,1111,5,Home Expenses,Water,Essentials
416,417,-272.26,2024-03-17,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
417,418,-161.97,2023-09-08,3333,28,Clothing,Clothes,Non-Essentials
