,date,balance_account_1111,balance_account_2222,balance_account_3333,total_balance
29,2023-02-03,7668.610000000001,9564.4,-2207.39,15025.620000000003
30,2023-02-04,7668.610000000001,9479.14,-2307.39,14840.36
31,2023-02-05,7668.610000000001,8184.76,-2307.39,13545.980000000001
32,2023-02-06,6835.280000000001,8184.76,-2307.39,12712.650000000001
33,2023-02-08,6835.280000000001,8122.79,-2307.39,12650.68
34,2023-02-10,6835.280000000001,8050.64,-2678.1,12207.820000000002
35,2023-02-12,5983.41,8050.64,-2757.7799999999997,11276.27
36,2023-02-13,5023.62,8050.64,-2757.7799999999997,10316.48
37,2023-02-14,4940.0599999999995,7534.150000000001,-2757.7799999999997,9716.43
38,2023-02-15,4940.0599999999995,7429.6,-2757.7799999999997,9611.880000000001
39,2023-02-16,4940.0599999999995,6817.1,-3036.2099999999996,8720.95
40,2023-02-17,4940.0599999999995,6685.610000000001,-3268.4799999999996,8357.19
41,2023-02-19,4798.839999999999,6685.610000000001,-3577.3199999999997,7907.130000000001
42,2023-02-20,4798.839999999999,5907.7300000000005,-3577.3199999999997,7129.25
43,2023-02-21,4798.839999999999,5907.7300000000005,-3403.6899999999996,7302.88
44,2023-02-22,4798.839999999999,5932.84,-3403.6899999999996,7327.990000000001
45,2023-02-23,4798.839999999999,5932.84,-3499.0899999999997,7232.59
46,2023-02-24,4656.209999999999,5791.58,-3499.0899999999997,6948.699999999999
47,2023-02-25,4367.969999999999,5791.58,-3540.49,6619.0599999999995
48,2023-02-26,4367.969999999999,5540.0,-3540.49,6367.48
49,2023-02-27,4221.579999999999,5540.0,-3614.08,6147.499999999998
50,2023-03-01,4221.579999999999,5473.64,-3614.08,6081.139999999999
51,2023-03-02,16126.759999999998,4548.72,-4814.08,15861.4
52,2023-03-03,16126.759999999998,4470.22,-4814.08,15782.9
53,2023-03-04,16126.759999999998,4470.22,-4869.23,15727.75
54,2023-03-05,15987.969999999998,4470.22,-4889.23,15568.96
55,2023-03-06,15847.609999999997,4470.22,-4889.23,15428.599999999999
56,2023-03-07,15847.609999999997,4470.22,-5157.139999999999,15160.689999999999
57,2023-03-08,15811.469999999998,4470.22,-5422.779999999999,14858.91
58,2023-03-09,15811.469999999998,4310.240000000001,-5422.779999999999,14698.93
59,2023-03-10,15802.139999999998,4310.240000000001,-5422.779999999999,14689.599999999999
60,2023-03-11,15737.839999999998,4040.2700000000004,-5523.669999999999,14254.440000000002
61,2023-03-12,15737.839999999998,3597.9200000000005,-6031.37,13304.39
62,2023-03-13,15737.839999999998,3597.9200000000005,-6145.91,13189.849999999999
63,2023-03-14,15737.839999999998,3597.9200000000005,-6218.8,13116.96
64,2023-03-16,15737.839999999998,4448.81,-6218.8,13967.849999999999
65,2023-03-17,15737.839999999998,4448.81,-6284.17,13902.479999999998
66,2023-03-18,15737.839999999998,4318.02,-6284.17,13771.69
67,2023-03-20,15659.049999999997,4142.34,-6284.17,13517.22
68,2023-03-21,15404.619999999997,4142.34,-6284.17,13262.789999999999
69,2023-03-22,15404.619999999997,4048.9,-6284.17,13169.349999999997
70,2023-03-23,15404.619999999997,4006.63,-6394.01,13017.239999999996
71,2023-03-24,15404.619999999997,4006.63,-6605.900000000001,12805.349999999995
72,2023-03-25,14762.079999999998,4006.63,-6605.900000000001,12162.809999999998
73,2023-03-27,14730.869999999999,4006.63,-6605.900000000001,12131.599999999999
74,2023-03-28,14690.259999999998,3872.7400000000002,-6844.200000000001,11718.8
75,2023-03-29,14690.259999999998,3872.7400000000002,-7382.900000000001,11180.099999999999
76,2023-03-31,14397.049999999997,3872.7400000000002,-7444.710000000001,10825.079999999996
77,2023-04-01,14238.629999999997,3752.7400000000002,-7444.710000000001,10546.659999999998
78,2023-04-02,14238.629999999997,3736.6600000000003,-7587.230000000001,10388.059999999996
79,2023-04-03,13394.169999999996,3736.6600000000003,-7587.230000000001,9543.599999999997
80,2023-04-04,13272.939999999997,2536.6600000000003,-7799.780000000002,8009.819999999995
81,2023-04-05,13272.939999999997,14496.66,-7799.780000000002,19969.819999999996
82,2023-04-06,13272.939999999997,14496.66,-7857.190000000001,19912.409999999996
83,2023-04-07,13164.259999999997,14496.66,-7857.190000000001,19803.729999999996
84,2023-04-08,13052.519999999997,13876.810000000001,-7905.690000000001,19023.639999999996
85,2023-04-11,13052.519999999997,13876.810000000001,-8215.660000000002,18713.67
86,2023-04-12,13052.519999999997,14155.150000000001,-8215.660000000002,18992.009999999995
87,2023-04-13,13052.519999999997,14155.150000000001,-8292.960000000001,18914.71
88,2023-04-15,13052.519999999997,13595.060000000001,-8292.960000000001,18354.619999999995
89,2023-04-16,13052.519999999997,13555.390000000001,-8439.210000000001,18168.699999999997
90,2023-04-17,12871.249999999996,12211.970000000001,-8464.130000000001,16619.089999999997
91,2023-04-18,11893.899999999996,12068.560000000001,-8564.03,15398.429999999998
92,2023-04-19,11893.899999999996,11504.450000000003,-8564.03,14834.319999999998
93,2023-04-20,11893.899999999996,11438.610000000002,-8564.03,14768.479999999998
94,2023-04-21,11893.899999999996,11438.610000000002,-8603.730000000001,14728.779999999997
95,2023-04-22,11842.479999999996,11182.130000000003,-8644.680000000002,14379.929999999998
96,2023-04-24,11675.139999999996,11182.130000000003,-8644.680000000002,14212.589999999995
97,2023-04-25,11507.049999999996,11109.040000000003,-8717.860000000002,13898.229999999994
98,2023-04-26,11507.049999999996,11109.040000000003,-8764.930000000002,13851.159999999994
99,2023-04-27,11128.859999999997,11109.040000000003,-8764.930000000002,13472.97
100,2023-04-28,11093.339999999997,11109.040000000003,-8764.930000000002,13437.449999999995
101,2023-04-29,11093.339999999997,11109.040000000003,-8788.520000000002,13413.859999999995
102,2023-05-01,10973.339999999997,11109.040000000003,-8788.520000000002,13293.859999999995
103,2023-05-02,10819.739999999996,23109.04,-8788.520000000002,25140.259999999995
104,2023-05-03,10819.739999999996,22934.88,-8788.520000000002,24966.09999999999
105,2023-05-04,10725.829999999996,22934.88,-10158.230000000001,23502.479999999996
106,2023-05-05,10572.239999999996,22934.88,-10446.300000000001,23060.819999999992
107,2023-05-06,10572.239999999996,22934.88,-10025.860000000002,23481.259999999995
108,2023-05-08,10572.239999999996,22832.010000000002,-10025.860000000002,23378.39
109,2023-05-10,11410.709999999995,22832.010000000002,-10025.860000000002,24216.86
110,2023-05-11,11169.379999999996,23152.350000000002,-10314.570000000002,24007.159999999996
111,2023-05-12,11169.379999999996,23152.350000000002,-9440.400000000001,24881.329999999994
112,2023-05-14,10812.579999999996,23057.230000000003,-9440.400000000001,24429.409999999996
113,2023-05-15,10812.579999999996,22873.360000000004,-9440.400000000001,24245.54
114,2023-05-16,10812.579999999996,22806.390000000003,-9440.400000000001,24178.57
115,2023-05-17,10617.039999999995,22709.110000000004,-9440.400000000001,23885.75
116,2023-05-19,10617.039999999995,22709.110000000004,-9502.070000000002,23824.08
117,2023-05-20,10617.039999999995,22664.840000000004,-9502.070000000002,23779.809999999998
118,2023-05-21,10617.039999999995,22495.280000000002,-9502.070000000002,23610.25
119,2023-05-22,10617.039999999995,22447.4,-9502.070000000002,23562.369999999995
120,2023-05-23,10246.809999999996,22447.4,-9502.070000000002,23192.14
121,2023-05-24,10132.939999999995,22242.55,-9502.070000000002,22873.41999999999
122,2023-05-25,10132.939999999995,22063.219999999998,-9502.070000000002,22694.08999999999
123,2023-05-26,10132.939999999995,22063.219999999998,-10287.960000000001,21908.19999999999
124,2023-05-27,10132.939999999995,21764.809999999998,-10287.960000000001,21609.789999999994
125,2023-05-29,10047.169999999995,21764.809999999998,-10287.960000000001,21524.01999999999
126,2023-05-30,9928.169999999995,21764.809999999998,-10381.580000000002,21311.39999999999
127,2023-06-01,9928.169999999995,21111.769999999997,-10381.580000000002,20658.35999999999
128,2023-06-02,9928.169999999995,33111.77,-10381.580000000002,32658.359999999986
129,2023-06-03,9628.829999999994,33011.77,-12059.710000000001,30580.889999999992
130,2023-06-04,9588.829999999994,33011.77,-12160.150000000001,30440.44999999999
131,2023-06-05,9554.599999999995,33011.77,-12160.150000000001,30406.219999999994
132,2023-06-06,9353.069999999996,32338.01,-12160.150000000001,29530.929999999993
133,2023-06-07,9126.669999999996,32338.01,-12316.560000000001,29148.11999999999
134,2023-06-08,9109.609999999997,32338.01,-12356.320000000002,29091.299999999996
135,2023-06-09,9109.609999999997,32255.789999999997,-12356.320000000002,29009.079999999994
136,2023-06-10,9109.609999999997,32199.639999999996,-12362.770000000002,28946.47999999999
137,2023-06-11,9109.609999999997,32101.419999999995,-12362.770000000002,28848.259999999987
138,2023-06-12,9901.459999999995,31838.099999999995,-12362.770000000002,29376.789999999986
139,2023-06-14,9901.459999999995,31838.099999999995,-12488.280000000002,29251.279999999988
140,2023-06-15,9901.459999999995,31838.099999999995,-12679.260000000002,29060.29999999999
141,2023-06-16,9603.419999999995,32220.559999999994,-12679.260000000002,29144.719999999987
142,2023-06-17,9603.419999999995,31669.359999999993,-12679.260000000002,28593.519999999982
143,2023-06-18,9474.989999999994,31381.359999999993,-12679.260000000002,28177.08999999999
144,2023-06-19,9412.989999999994,31260.799999999992,-12842.400000000001,27831.389999999985
145,2023-06-20,9412.989999999994,31170.789999999994,-12842.400000000001,27741.379999999983
146,2023-06-21,9412.989999999994,31102.539999999994,-13227.12,27288.40999999998
147,2023-06-22,9412.989999999994,30916.599999999995,-13264.18,27065.40999999999
148,2023-06-23,9319.889999999994,30916.599999999995,-13264.18,26972.30999999999
149,2023-06-24,8872.199999999995,30740.339999999997,-13264.18,26348.359999999993
150,2023-06-25,8776.939999999995,30471.839999999997,-13264.18,25984.59999999999
151,2023-06-26,8776.939999999995,30471.839999999997,-13358.04,25890.73999999999
152,2023-06-27,8603.629999999996,30471.839999999997,-13358.04,25717.429999999993
153,2023-06-28,8603.629999999996,30426.899999999998,-13358.04,25672.48999999999
154,2023-07-01,8603.629999999996,30386.899999999998,-14300.53,24689.999999999993
155,2023-07-02,7165.509999999996,30386.899999999998,-14300.53,23251.879999999997
156,2023-07-03,7089.949999999995,30255.55,-14300.53,23044.969999999994
157,2023-07-04,6969.949999999995,30185.1,-14300.53,22854.519999999997
158,2023-07-05,6938.489999999995,30185.1,-2746.58,34377.009999999995
159,2023-07-06,7382.299999999996,30090.199999999997,-2746.58,34725.91999999999
160,2023-07-07,7382.299999999996,30090.199999999997,-3122.5699999999997,34349.92999999999
161,2023-07-08,7382.299999999996,29589.079999999994,-3369.0799999999995,33602.29999999999
162,2023-07-10,6834.999999999995,29442.649999999994,-3411.7899999999995,32865.859999999986
163,2023-07-11,6740.189999999995,29385.579999999994,-3442.0299999999993,32683.73999999999
164,2023-07-12,6740.189999999995,28703.109999999993,-3495.8099999999995,31947.48999999999
165,2023-07-13,6681.789999999995,28436.62999999999,-3495.8099999999995,31622.609999999986
166,2023-07-14,6681.789999999995,28436.62999999999,-3793.149999999999,31325.269999999986
167,2023-07-15,6681.789999999995,28436.62999999999,-3890.9699999999993,31227.449999999983
168,2023-07-16,6681.789999999995,27330.96999999999,-3890.9699999999993,30121.789999999986
169,2023-07-18,6549.109999999995,27330.96999999999,-3517.0499999999993,30363.029999999988
170,2023-07-19,6498.6699999999955,27330.96999999999,-3517.0499999999993,30312.589999999986
171,2023-07-21,6498.6699999999955,27305.46999999999,-3517.0499999999993,30287.089999999986
172,2023-07-22,6398.429999999996,27210.32999999999,-3577.899999999999,30030.85999999999
173,2023-07-23,6013.029999999995,27210.32999999999,-3671.639999999999,29551.719999999987
174,2023-07-24,6013.029999999995,27088.15999999999,-4658.98,28442.20999999999
175,2023-07-25,5609.989999999995,27088.15999999999,-4756.3099999999995,27941.839999999982
176,2023-07-26,5609.989999999995,26920.14999999999,-4756.3099999999995,27773.829999999987
177,2023-07-27,5378.619999999995,26920.14999999999,-4756.3099999999995,27542.459999999985
178,2023-07-28,5378.619999999995,26920.14999999999,-5784.9,26513.869999999988
179,2023-07-29,5183.699999999995,26920.14999999999,-6043.179999999999,26060.669999999984
180,2023-07-30,5183.699999999995,26891.549999999992,-6239.179999999999,25836.069999999985
181,2023-07-31,5183.699999999995,26891.549999999992,-6395.15,25680.099999999984
182,2023-08-01,5086.359999999995,26606.699999999993,-6452.79,25240.26999999999
183,2023-08-02,5086.359999999995,26606.699999999993,-6517.18,25175.87999999999
184,2023-08-03,5086.359999999995,26593.239999999994,-7717.18,23962.41999999999
185,2023-08-04,5068.659999999995,26452.599999999995,4242.82,35764.07999999999
186,2023-08-05,5068.659999999995,26145.309999999994,4242.82,35456.78999999999
187,2023-08-06,5068.659999999995,26082.179999999993,3657.0199999999995,34807.859999999986
188,2023-08-07,4586.449999999995,26082.179999999993,3657.0199999999995,34325.64999999999
189,2023-08-08,4586.449999999995,25942.839999999993,3657.0199999999995,34186.30999999998
190,2023-08-10,4586.449999999995,25842.569999999992,3657.0199999999995,34086.039999999986
191,2023-08-11,4487.769999999995,25744.169999999995,3657.0199999999995,33888.959999999985
192,2023-08-12,4487.769999999995,25744.169999999995,3496.8399999999997,33728.779999999984
193,2023-08-13,4474.599999999995,25744.169999999995,3406.8099999999995,33625.57999999999
194,2023-08-14,4340.689999999995,25666.869999999995,3244.4999999999995,33252.05999999999
195,2023-08-15,4340.689999999995,25666.869999999995,3229.6799999999994,33237.23999999999
196,2023-08-16,3143.219999999995,24948.829999999994,2967.249999999999,31059.29999999999
197,2023-08-17,3143.219999999995,24935.619999999995,2911.8399999999992,30990.67999999999
198,2023-08-19,3143.219999999995,24470.469999999998,2911.8399999999992,30525.52999999999
199,2023-08-20,3143.219999999995,24407.82,2911.8399999999992,30462.879999999994
200,2023-08-21,2966.949999999995,24263.5,2911.8399999999992,30142.289999999994
201,2023-08-22,2966.949999999995,24263.5,2831.0499999999993,30061.499999999993
202,2023-08-23,2680.0299999999947,24110.07,2798.149999999999,29588.249999999993
203,2023-08-24,2680.0299999999947,23628.93,2798.149999999999,29107.109999999993
204,2023-08-25,2680.0299999999947,23628.93,2737.2199999999993,29046.179999999993
205,2023-08-26,1817.6099999999947,23628.93,2622.5599999999995,28069.09999999999
206,2023-08-27,1817.6099999999947,23163.11,2622.5599999999995,27603.27999999999
207,2023-08-30,1817.6099999999947,22766.59,2476.72,27060.919999999995
208,2023-08-31,1817.6099999999947,22730.96,2476.72,27025.289999999994
209,2023-09-01,1817.6099999999947,21260.93,2476.72,25555.259999999995
210,2023-09-02,1559.0899999999947,21260.93,2126.6299999999997,24946.649999999998
211,2023-09-03,13559.089999999995,20981.43,2126.6299999999997,36667.149999999994
212,2023-09-04,13385.129999999996,20855.77,2126.6299999999997,36367.52999999999
213,2023-09-05,13237.759999999995,20813.75,865.5099999999996,34917.02
214,2023-09-06,13171.549999999996,20374.9,865.5099999999996,34411.96
215,2023-09-07,13072.829999999996,20154.57,865.5099999999996,34092.909999999996
216,2023-09-08,13072.829999999996,20091.72,703.5399999999996,33868.09
217,2023-09-09,12981.679999999997,19912.420000000002,672.7699999999996,33566.869999999995
218,2023-09-10,12119.939999999997,20290.420000000002,480.0399999999996,32890.4
219,2023-09-11,12064.269999999997,20290.420000000002,480.0399999999996,32834.729999999996
220,2023-09-12,11929.329999999996,20178.79,480.0399999999996,32588.159999999996
221,2023-09-13,11679.709999999995,20051.54,455.3199999999996,32186.569999999996
222,2023-09-14,11679.709999999995,20051.54,234.0099999999996,31965.259999999995
223,2023-09-15,11679.709999999995,19979.420000000002,234.0099999999996,31893.139999999996
224,2023-09-16,11593.229999999994,19669.38,-269.0500000000004,30993.559999999994
225,2023-09-17,11593.229999999994,19632.79,-269.0500000000004,30956.969999999998
226,2023-09-18,11593.229999999994,19038.59,-727.5900000000004,29904.229999999992
227,2023-09-19,11443.589999999995,19038.59,-727.5900000000004,29754.589999999993
228,2023-09-20,11443.589999999995,18899.6,-727.5900000000004,29615.599999999995
229,2023-09-21,11131.749999999995,18899.6,-727.5900000000004,29303.75999999999
230,2023-09-22,10856.889999999994,18789.68,-876.5500000000004,28770.019999999993
231,2023-09-23,10856.889999999994,18789.68,-1002.6300000000005,28643.93999999999
232,2023-09-24,10856.889999999994,18507.95,-1077.5900000000004,28287.249999999996
233,2023-09-25,10815.559999999994,18501.81,-1077.5900000000004,28239.779999999995
234,2023-09-26,10815.559999999994,18363.56,-1077.5900000000004,28101.529999999995
235,2023-09-27,10737.789999999994,17837.16,-1077.5900000000004,27497.359999999993
236,2023-09-28,10737.789999999994,17837.16,-1112.8000000000004,27462.149999999994
237,2023-09-29,10711.399999999994,17837.16,-1112.8000000000004,27435.759999999995
238,2023-10-01,10711.399999999994,17458.99,-1198.8700000000003,26971.519999999997
239,2023-10-02,10711.399999999994,29418.99,-1198.8700000000003,38931.52
240,2023-10-03,10623.929999999995,29271.27,-1198.8700000000003,38696.329999999994
241,2023-10-04,10603.929999999995,29271.27,-1298.8700000000003,38576.329999999994
242,2023-10-05,10338.299999999996,29271.27,-1298.8700000000003,38310.69999999999
243,2023-10-07,10338.299999999996,29243.38,-1298.8700000000003,38282.80999999999
244,2023-10-08,10338.299999999996,29243.38,-1309.5900000000004,38272.08999999999
245,2023-10-10,10253.479999999996,28996.58,-1360.2500000000005,37889.81
246,2023-10-11,10253.479999999996,28960.24,-1360.2500000000005,37853.47
247,2023-10-13,10253.479999999996,28960.24,-536.3100000000004,38677.41
248,2023-10-14,10253.479999999996,28620.5,-754.4200000000004,38119.56
249,2023-10-16,10253.479999999996,28620.5,-1838.8200000000006,37035.159999999996
250,2023-10-17,10253.479999999996,28544.83,-1838.8200000000006,36959.49
251,2023-10-18,10003.059999999996,28280.760000000002,-1838.8200000000006,36445.0
252,2023-10-19,10003.059999999996,28252.45,-1838.8200000000006,36416.689999999995
253,2023-10-20,9288.329999999996,28085.79,-1838.8200000000006,35535.299999999996
254,2023-10-21,9288.329999999996,28018.58,-1902.7100000000007,35404.2
255,2023-10-23,9288.329999999996,28018.58,-2197.500000000001,35109.409999999996
256,2023-10-24,9288.329999999996,27808.230000000003,-2197.500000000001,34899.06
257,2023-10-25,9288.329999999996,27786.510000000002,-2527.040000000001,34547.799999999996
258,2023-10-26,9250.319999999996,27786.510000000002,-2527.040000000001,34509.79
259,2023-10-27,9250.319999999996,27786.510000000002,-2563.2000000000007,34473.630000000005
260,2023-10-28,9007.719999999996,27733.18,-3113.3000000000006,33627.59999999999
261,2023-10-29,9007.719999999996,27590.43,-3265.3000000000006,33332.84999999999
262,2023-10-30,9007.719999999996,27533.53,-3265.3000000000006,33275.94999999999
263,2023-10-31,8480.659999999994,26799.26,-3677.120000000001,31602.79999999999
264,2023-11-01,7940.419999999995,26799.26,-3677.120000000001,31062.55999999999
265,2023-11-02,6740.419999999995,26743.12,-3677.120000000001,29806.41999999999
266,2023-11-03,18740.419999999995,26703.12,-3677.120000000001,41766.41999999999
267,2023-11-04,18721.329999999994,27034.969999999998,-3897.2800000000007,41859.01999999999
268,2023-11-05,18721.329999999994,27034.969999999998,-3936.4900000000007,41819.80999999999
269,2023-11-06,18721.329999999994,27034.969999999998,-4276.42,41479.87999999999
270,2023-11-07,18444.77999999999,26845.199999999997,-4522.06,40767.91999999999
271,2023-11-08,18444.77999999999,26845.199999999997,-4657.68,40632.29999999999
272,2023-11-09,18444.77999999999,26781.239999999998,-4657.68,40568.33999999999
273,2023-11-10,18331.889999999992,26781.239999999998,-4670.280000000001,40442.84999999999
274,2023-11-11,18137.179999999993,26319.809999999998,-4670.280000000001,39786.70999999999
275,2023-11-12,18137.179999999993,26319.809999999998,-4897.410000000001,39559.57999999999
276,2023-11-13,18137.179999999993,25224.76,-4897.410000000001,38464.529999999984
277,2023-11-14,18089.049999999992,25224.76,-4897.410000000001,38416.39999999999
278,2023-11-15,18026.25999999999,25199.78,-4897.410000000001,38328.62999999999
279,2023-11-17,18014.299999999992,25199.78,-4897.410000000001,38316.669999999984
280,2023-11-18,18014.299999999992,25138.86,-4897.410000000001,38255.749999999985
281,2023-11-19,18014.299999999992,25088.12,-4897.410000000001,38205.00999999999
282,2023-11-20,18014.299999999992,25003.7,-4937.77,38080.229999999996
283,2023-11-21,18014.299999999992,24947.7,-4995.09,37966.90999999999
284,2023-11-22,17976.32999999999,24429.030000000002,-5089.75,37315.60999999999
285,2023-11-23,18861.209999999992,24429.030000000002,-5680.99,37609.24999999999
286,2023-11-25,18861.209999999992,23954.480000000003,-4770.09,38045.59999999999
287,2023-11-26,18861.209999999992,23954.480000000003,-4891.41,37924.28
288,2023-11-27,17915.64999999999,23768.250000000004,-5006.7699999999995,36677.13
289,2023-11-28,17872.87999999999,23768.250000000004,-5006.7699999999995,36634.35999999999
290,2023-11-29,17671.25999999999,23768.250000000004,-5006.7699999999995,36432.74
291,2023-11-30,17615.999999999993,23562.300000000003,-5150.049999999999,36028.25
292,2023-12-01,17595.999999999993,23562.300000000003,-5407.0199999999995,35751.28
293,2023-12-02,17595.999999999993,23562.300000000003,6396.910000000001,47555.21
294,2023-12-03,17595.999999999993,22362.300000000003,6396.910000000001,46355.21
295,2023-12-04,17595.999999999993,22854.500000000004,6396.910000000001,46847.41
296,2023-12-05,17595.999999999993,22854.500000000004,6356.910000000001,46807.41
297,2023-12-06,17595.999999999993,22581.780000000002,5873.9400000000005,46051.72
298,2023-12-07,17540.549999999992,22581.780000000002,5755.64,45877.969999999994
299,2023-12-08,17540.549999999992,22523.230000000003,5731.8,45795.58
300,2023-12-09,17540.549999999992,22523.230000000003,5564.83,45628.61
301,2023-12-10,17540.549999999992,22523.230000000003,4757.75,44821.53
302,2023-12-11,17540.549999999992,22471.620000000003,4705.76,44717.93
303,2023-12-12,17494.77999999999,22393.690000000002,4705.76,44594.229999999996
304,2023-12-13,17109.819999999992,22393.690000000002,4705.76,44209.27
305,2023-12-14,17070.50999999999,22393.690000000002,4705.76,44169.96
306,2023-12-15,16922.87999999999,22250.920000000002,4513.31,43687.109999999986
307,2023-12-16,16865.80999999999,21349.18,4513.31,42728.29999999999
308,2023-12-17,16865.80999999999,21349.18,4345.42,42560.40999999999
309,2023-12-18,16865.80999999999,21135.710000000003,4335.17,42336.68999999999
310,2023-12-19,16865.80999999999,21085.170000000002,4335.17,42286.149999999994
311,2023-12-20,16865.80999999999,21085.170000000002,4207.86,42158.84
312,2023-12-23,16865.80999999999,19914.13,3902.43,40682.36999999999
313,2023-12-24,16796.72999999999,19914.13,3902.43,40613.289999999986
314,2023-12-25,16796.72999999999,19842.960000000003,3902.43,40542.11999999999
315,2023-12-26,16761.22999999999,19810.74,3858.5,40430.46999999999
316,2023-12-27,16547.82999999999,20012.780000000002,3858.5,40419.10999999999
317,2023-12-28,16547.82999999999,20012.780000000002,3761.14,40321.74999999999
318,2023-12-29,16547.82999999999,19471.000000000004,3736.46,39755.28999999999
319,2023-12-30,16487.39999999999,19328.610000000004,3681.04,39497.049999999996
320,2024-01-02,15163.02999999999,19322.410000000003,3681.04,38166.479999999996
321,2024-01-03,15028.28999999999,19322.410000000003,15681.04,50031.74
322,2024-01-04,14966.25999999999,19143.72,15681.04,49791.01999999999
323,2024-01-05,14866.909999999989,18965.99,15237.68,49070.579999999994
324,2024-01-06,14795.309999999989,18811.83,15192.29,48799.42999999999
325,2024-01-07,14551.61999999999,18811.83,15192.29,48555.73999999999
326,2024-01-10,15225.70999999999,18811.83,14693.660000000002,48731.2
327,2024-01-11,15225.70999999999,18811.83,14492.650000000001,48530.189999999995
328,2024-01-13,15211.46999999999,18811.83,14492.650000000001,48515.94999999999
329,2024-01-14,15211.46999999999,18628.230000000003,14492.650000000001,48332.35
330,2024-01-16,14343.779999999992,18509.530000000002,14492.650000000001,47345.96
331,2024-01-17,14247.099999999991,18256.780000000002,14492.650000000001,46996.53
332,2024-01-18,14247.099999999991,18256.780000000002,14419.350000000002,46923.229999999996
333,2024-01-19,13976.429999999991,18117.370000000003,14419.350000000002,46513.149999999994
334,2024-01-20,13602.419999999991,17873.31,14419.350000000002,45895.079999999994
335,2024-01-21,12683.22999999999,17873.31,14284.670000000002,44841.20999999999
336,2024-01-24,12683.22999999999,17628.27,14675.080000000002,44986.579999999994
337,2024-01-26,10523.85999999999,17628.27,14632.030000000002,42784.15999999999
338,2024-01-27,10523.85999999999,17570.28,14537.190000000002,42631.32999999999
339,2024-01-28,10523.85999999999,17337.8,14295.980000000003,42157.63999999999
340,2024-01-29,10210.29999999999,17237.93,14295.980000000003,41744.20999999999
341,2024-01-30,10110.25999999999,17791.47,14198.100000000004,42099.829999999994
342,2024-01-31,10110.25999999999,17723.31,14198.100000000004,42031.67
343,2024-02-01,9962.50999999999,17479.550000000003,14198.100000000004,41640.159999999996
344,2024-02-03,21922.509999999987,17050.910000000003,13928.740000000003,52902.159999999996
345,2024-02-04,21855.579999999987,17050.910000000003,13928.740000000003,52835.229999999996
346,2024-02-05,21855.579999999987,17050.910000000003,13772.450000000003,52678.939999999995
347,2024-02-06,21561.509999999987,17050.910000000003,13735.330000000002,52347.74999999999
348,2024-02-07,21561.509999999987,16982.190000000002,13735.330000000002,52279.02999999999
349,2024-02-09,21071.40999999999,16982.190000000002,13735.330000000002,51788.92999999999
350,2024-02-10,20893.08999999999,16982.190000000002,13735.330000000002,51610.60999999999
351,2024-02-11,20650.779999999988,16982.190000000002,13593.090000000002,51226.05999999999
352,2024-02-12,20650.779999999988,16925.72,13593.090000000002,51169.58999999999
353,2024-02-13,20516.619999999988,16925.72,13593.090000000002,51035.42999999999
354,2024-02-14,20454.97999999999,16705.850000000002,13253.800000000001,50414.62999999999
355,2024-02-15,20454.97999999999,16429.88,13226.210000000001,50111.069999999985
