,id_expense,value,date,account_number,category_id,main_category,secondary_category
38,39,-100.0,2023-10-04,3333,20,Health,Health Insurance
39,40,12000.0,2023-10-02,2222,17,Income,Salary
40,41,-1200.0,2023-11-02,1111,8,Home Expenses,Rent
41,42,-40.0,2023-11-03,2222,19,Health,Gym
42,43,-100.0,2023-11-04,3333,20,Health,Health Insurance
43,44,12000.0,2023-11-03,1111,17,Income,Salary
44,45,-1200.0,2023-12-03,2222,8,Home Expenses,Rent
45,46,-40.0,2023-12-05,3333,19,Health,Gym
46,47,-100.0,2023-12-01,3333,20,Health,Health Insurance
47,48,12000.0,2023-12-02,3333,17,Income,Salary
48,49,-1200.0,2024-01-02,1111,8,Home Expenses,Rent
49,50,-40.0,2024-01-05,1111,19,Health,Gym
50,51,-100.0,2024-01-05,2222,20,Health,Health Insurance
51,52,12000.0,2024-01-03,3333,17,Income,Salary
52,53,-1200.0,2024-02-03,2222,8,Home Expenses,Rent
53,54,-40.0,2024-02-03,1111,19,Health,Gym
54,55,-100.0,2024-02-05,3333,20,Health,Health Insurance
55,56,12000.0,2024-02-03,1111,17,Income,Salary
56,57,-1200.0,2024-03-01,1111,8,Home Expenses,Rent
57,58,-40.0,2024-03-05,2222,19,Health,Gym
58,59,-100.0,2024-03-03,2222,20,Health,Health Insurance
59,60,12000.0,2024-03-04,2222,17,Income,Salary
60,61,-1200.0,2024-04-02,1111,8,Home Expenses,Rent
61,62,-40.0,2024-04-02,1111,19,Health,Gym
62,63,-100.0,2024-04-05,1111,20,Health,Health Insurance
63,64,12000.0,2024-04-02,3333,17,Income,Salary
64,65,-1200.0,2024-05-05,3333,8,Home Expenses,Rent
65,66,-40.0,2024-05-05,3333,19,Health,Gym
66,67,-100.0,2024-05-05,3333,20,Health,Health Insurance
67,68,12000.0,2024-05-01,2222,17,Income,Salary
68,69,-1200.0,2024-06-04,1111,8,Home Expenses,Rent
69,70,-40.0,2024-06-01,1111,19,Health,Gym
70,71,-100.0,2024-06-01,2222,20,Health,Health Insurance
71,72,12000.0,2024-06-03,2222,17,Income,Salary
72,73,-1200.0,2024-07-03,1111,8,Home Expenses,Rent
73,74,-40.0,2024-07-04,3333,19,Health,Gym
74,75,-100.0,2024-07-05,2222,20,Health,Health Insurance
75,76,12000.0,2024-07-02,3333,17,Income,Salary
76,77,-1200.0,2024-08-03,1111,8,Home Expenses,Rent
77,78,-40.0,2024-08-01,1111,19,Health,Gym
78,79,-100.0,2024-08-02,3333,20,Health,Health Insurance
79,80,12000.0,2024-08-02,3333,17,Income,Salary
80,81,-1200.0,2024-09-02,2222,8,Home Expenses,Rent
81,82,-40.0,2024-09-02,1111,19,Health,Gym
82,83,-100.0,2024-09-02,1111,20,Health,Health Insurance
83,84,12000.0,2024-09-04,3333,17,Income,Salary
84,85,-1200.0,2024-10-01,1111,8,Home Expenses,Rent
85,86,-40.0,2024-10-01,2222,19,Health,Gym
86,87,-100.0,2024-10-04,1111,20,Health,Health Insurance
87,88,12000.0,2024-10-02,1111,17,Income,Salary
88,89,-1200.0,2024-11-01,3333,8,Home Expenses,Rent
89,90,-40.0,2024-11-05,3333,19,Health,Gym
90,91,-100.0,2024-11-01,2222,20,Health,Health Insurance
91,92,12000.0,2024-11-01,2222,17,Income,Salary
92,93,-1200.0,2024-12-01,1111,8,Home Expenses,Rent
93,94,-40.0,2024-12-03,3333,19,Health,Gym
94,95,-100.0,2024-12-01,1111,20,Health,Health Insurance
95,96,12000.0,2024-12-01,3333,17,Income,Salary
96,97,-1200.0,2025-01-02,3333,8,Home Expenses,Rent
97,98,-40.0,2025-01-02,1111,19,Health,Gym
98,99,-100.0,2025-01-03,1111,20,Health,Health Insurance
99,100,12000.0,2025-01-01,1111,17,Income,Salary
100,101,-1200.0,2025-02-03,3333,8,Home Expenses,Rent
101,102,-40.0,2025-02-03,2222,19,Health,Gym
102,103,-100.0,2025-02-02,3333,20,Health,Health Insurance
103,104,12000.0,2025-02-05,1111,17,Income,Salary
104,105,-1200.0,2025-03-05,3333,8,Home Expenses,Rent
105,106,-40.0,2025-03-01,1111,19,Health,Gym
106,107,-100.0,2025-03-05,1111,20,Health,Health Insurance
107,108,12000.0,2025-03-05,1111,17,Income,Salary
108,109,-1200.0,2025-04-02,2222,8,Home Expenses,Rent
109,110,-40.0,2025-04-02,3333,19,Health,Gym
110,111,-100.0,2025-04-01,3333,20,Health,Health Insurance
111,112,12000.0,2025-04-01,1111,17,Income,Salary
112,113,-1200.0,2025-05-05,3333,8,Home Expenses,Rent
113,114,-40.0,2025-05-04,2222,19,Health,Gym
114,115,-100.0,2025-05-05,1111,20,Health,Health Insurance
115,116,12000.0,2025-05-04,3333,17,Income,Salary
116,117,-1200.0,2025-06-01,1111,8,Home Expenses,Rent
117,118,-40.0,2025-06-03,2222,19,Health,Gym
118,119,-100.0,2025-06-04,1111,20,Health,Health Insurance
119,120,12000.0,2025-06-05,1111,17,Income,Salary
120,121,-1200.0,2025-07-04,1111,8,Home Expenses,Rent
121,122,-40.0,2025-07-03,1111,19,Health,Gym
122,123,-100.0,2025-07-04,1111,20,Health,Health Insurance
123,124,12000.0,2025-07-05,1111,17,Income,Salary
124,125,-1200.0,2025-08-04,2222,8,Home Expenses,Rent
125,126,-40.0,2025-08-03,3333,19,Health,Gym
126,127,-100.0,2025-08-01,1111,20,Health,Health Insurance
127,128,12000.0,2025-08-03,2222,17,Income,Salary
128,129,-1200.0,2025-09-01,2222,8,Home Expenses,Rent
129,130,-40.0,2025-09-03,2222,19,Health,Gym
130,131,-100.0,2025-09-05,3333,20,Health,Health Insurance
131,132,12000.0,2025-09-03,3333,17,Income,Salary
132,133,-1200.0,2025-10-04,1111,8,Home Expenses,Rent
133,134,-40.0,2025-10-05,2222,19,Health,Gym
134,135,-100.0,2025-10-03,2222,20,Health,Health Insurance
135,136,12000.0,2025-10-02,1111,17,Income,Salary
136,137,-1200.0,2025-11-04,3333,8,Home Expenses,Rent
137,138,-40.0,2025-11-03,1111,19,Health,Gym
138,139,-100.0,2025-11-01,3333,20,Health,Health Insurance
139,140,12000.0,2025-11-04,3333,17,Income,Salary
140,141,-426.55,2023-06-24,1111,4,Purchases,Electronics
141,142,-41.84,2023-07-28,3333,5,Home Expenses,Water
142,143,-56.47,2024-02-12,2222,6,Home Expenses,Electricity
143,144,-210.89,2025-04-07,1111,7,Home Expenses,Heating
144,145,-1038.11,2025-10-19,2222,9,Holidays,Airplane
145,146,-157.87,2024-07-13,3333,27,Clothing,Shoes
146,147,-21.02,2025-04-08,2222,14,Leisure,Bar
147,148,-35.1,2025-07-20,1111,21,Health,Pharmacy
148,149,-288.16,2025-10-15,1111,4,Purchases,Electronics
149,150,-94.82,2023-03-02,1111,25,Public Transports,Train
150,151,-44.27,2023-05-20,2222,28,Clothing,Clothes
151,152,-6.2,2024-01-02,2222,26,Public Transports,Bus
152,153,-63.96,2023-11-09,2222,16,Leisure,Restaurant
153,154,-20.0,2024-08-02,3333,24,Telecom,Telecom
154,155,-79.08,2025-08-12,1111,21,Health,Pharmacy
155,156,-215.52,2025-10-01,3333,11,Holidays,Extra Holiday Expenses
156,157,-371.22,2023-02-06,1111,10,Holidays,Hotel Stays
157,158,-270.03,2023-09-01,2222,15,Groceries,Groceries
158,159,-60.89,2025-02-09,2222,16,Leisure,Restaurant
159,160,-24.68,2023-12-29,3333,16,Leisure,Restaurant
160,161,-43.72,2024-09-12,3333,26,Public Transports,Bus
161,162,-99.15,2023-10-03,2222,6,Home Expenses,Electricity
162,163,-90.03,2023-08-13,3333,27,Clothing,Shoes
163,164,-27.07,2025-08-20,2222,26,Public Transports,Bus
164,165,-88.35,2025-11-03,1111,16,Leisure,Restaurant
165,166,-16.85,2025-02-12,3333,14,Leisure,Bar
166,167,-20.87,2024-08-05,2222,26,Public Transports,Bus
167,168,-37.6,2023-04-03,1111,2,Car,Maintenance
168,169,-41.4,2023-02-25,3333,13,Leisure,Activities
169,170,442.52,2025-05-26,2222,12,Income,Investiments
170,171,-47.07,2023-04-26,3333,13,Leisure,Activities
171,172,-447.61,2024-10-01,3333,9,Holidays,Airplane
172,173,-183.87,2023-05-15,2222,3,Purchases,Home Items
173,174,-370.71,2023-02-10,3333,4,Purchases,Electronics
174,175,133.64,2025-05-15,3333,12,Income,Investiments
175,176,-91.13,2024-06-30,1111,21,Health,Pharmacy
176,177,-104.55,2023-02-15,2222,27,Clothing,Shoes
177,178,-30.67,2024-10-22,3333,14,Leisure,Bar
178,179,-817.91,2023-07-24,3333,4,Purchases,Electronics
179,180,-14.27,2025-10-14,3333,26,Public Transports,Bus
180,181,-20.28,2024-09-05,2222,26,Public Transports,Bus
181,182,-100.44,2023-06-04,3333,15,Groceries,Groceries
182,183,-143.22,2023-04-08,2222,7,Home Expenses,Heating
183,184,-381.42,2024-04-07,3333,23,Taxes,Income Taxes
184,185,-288.64,2023-07-14,3333,28,Clothing,Clothes
185,186,346.03,2025-08-31,2222,12,Income,Investiments
186,187,-156.41,2023-06-07,3333,7,Home Expenses,Heating
187,188,-176.16,2024-09-06,2222,11,Holidays,Extra Holiday Expenses
188,189,-29.3,2024-02-14,2222,26,Public Transports,Bus
189,190,-16.31,2025-11-21,2222,14,Leisure,Bar
190,191,-39.35,2024-01-05,1111,26,Public Transports,Bus
191,192,-73.3,2024-01-18,3333,25,Public Transports,Train
192,193,-81.94,2025-08-15,2222,18,Health,Medical Appointments
193,194,-57.94,2025-06-07,3333,25,Public Transports,Train
194,195,-199.22,2024-02-15,2222,28,Clothing,Clothes
195,196,-39.21,2023-11-05,3333,16,Leisure,Restaurant
196,197,-39.45,2025-06-10,2222,26,Public Transports,Bus
197,198,874.17,2023-05-12,3333,12,Income,Investiments
198,199,-266.11,2024-06-30,2222,7,Home Expenses,Heating
199,200,-24.45,2024-04-28,2222,25,Public Transports,Train
200,201,-313.56,2024-01-29,1111,9,Holidays,Airplane
201,202,-997.04,2024-09-27,2222,9,Holidays,Airplane
202,203,-133.97,2025-06-12,2222,18,Health,Medical Appointments
203,204,-91.51,2024-02-18,1111,25,Public Transports,Train
204,205,-168.22,2024-06-13,2222,10,Holidays,Hotel Stays
205,206,-29.78,2023-03-28,3333,26,Public Transports,Bus
206,207,-167.34,2023-04-24,1111,18,Health,Medical Appointments
207,208,641.44,2023-05-11,2222,12,Income,Investiments
208,209,-70.45,2023-07-04,2222,13,Leisure,Activities
209,210,-257.54,2024-04-28,1111,28,Clothing,Clothes
210,211,-614.14,2023-09-05,3333,23,Taxes,Income Taxes
211,212,-42.3,2024-05-30,2222,26,Public Transports,Bus
212,213,-62.85,2023-09-08,2222,3,Purchases,Home Items
213,214,849.1,2025-03-09,3333,12,Income,Investiments
214,215,-93.7,2025-05-16,1111,28,Clothing,Clothes
215,216,-33.2,2024-03-14,2222,5,Home Expenses,Water
216,217,-73.09,2023-04-25,2222,16,Leisure,Restaurant
217,218,-49.98,2023-08-20,2222,22,Taxes,Documents
218,219,-53.9,2024-05-19,2222,16,Leisure,Restaurant
219,220,-40.89,2025-01-23,2222,5,Home Expenses,Water
220,221,-114.54,2023-03-13,3333,1,Car,Fuel
221,222,-40.95,2023-04-22,3333,26,Public Transports,Bus
222,223,-15.79,2025-02-26,2222,26,Public Transports,Bus
223,224,-96.26,2025-01-13,3333,25,Public Transports,Train
224,225,-558.17,2024-04-29,2222,4,Purchases,Electronics
225,226,-5.35,2025-03-15,2222,14,Leisure,Bar
226,227,-72.56,2024-04-27,2222,11,Holidays,Extra Holiday Expenses
227,228,-269.07,2023-11-25,2222,7,Home Expenses,Heating
228,229,-38.55,2025-04-12,1111,25,Public Transports,Train
229,230,-533.22,2025-10-03,2222,10,Holidays,Hotel Stays
230,231,-141.5,2024-11-12,3333,28,Clothing,Clothes
231,232,-269.19,2023-07-25,1111,15,Groceries,Groceries
232,233,-66.97,2023-05-16,2222,27,Clothing,Shoes
233,234,-200.53,2024-10-31,2222,15,Groceries,Groceries
234,235,-24.92,2023-04-17,3333,27,Clothing,Shoes
235,236,-26.54,2025-06-27,3333,25,Public Transports,Train
236,237,-30.09,2024-02-14,3333,5,Home Expenses,Water
237,238,-128.43,2023-06-18,1111,11,Holidays,Extra Holiday Expenses
238,239,-74.96,2023-09-24,3333,6,Home Expenses,Electricity
239,240,-23.46,2024-10-16,2222,26,Public Transports,Bus
240,241,-181.03,2023-10-01,2222,18,Health,Medical Appointments
241,242,-118.75,2024-11-01,2222,6,Home Expenses,Electricity
242,243,-98.57,2025-01-22,1111,7,Home Expenses,Heating
243,244,-44.44,2024-04-04,1111,14,Leisure,Bar
244,245,-142.31,2024-04-13,1111,1,Car,Fuel
245,246,-45.77,2023-12-12,1111,16,Leisure,Restaurant
246,247,-32.81,2024-06-16,1111,14,Leisure,Bar
247,248,-192.45,2023-12-15,3333,3,Purchases,Home Items
248,249,-63.41,2025-06-10,2222,4,Purchases,Electronics
249,250,-27.24,2024-04-04,3333,26,Public Transports,Bus
250,251,-121.92,2024-06-29,2222,7,Home Expenses,Heating
251,252,-163.43,2023-09-24,2222,28,Clothing,Clothes
252,253,-212.02,2024-08-02,3333,7,Home Expenses,Heating
253,254,-13.52,2024-01-05,2222,26,Public Transports,Bus
254,255,-30.86,2024-06-20,1111,5,Home Expenses,Water
255,256,-52.55,2024-05-23,2222,16,Leisure,Restaurant
256,257,-578.99,2025-07-27,1111,23,Taxes,Income Taxes
257,258,-96.89,2024-10-24,3333,1,Car,Fuel
258,259,-35.91,2025-02-24,3333,14,Leisure,Bar
259,260,-234.03,2024-06-08,1111,15,Groceries,Groceries
260,261,-579.15,2023-04-17,2222,4,Purchases,Electronics
261,262,-670.93,2024-12-26,3333,9,Holidays,Airplane
262,263,-48.52,2023-04-04,1111,26,Public Transports,Bus
263,264,-352.27,2025-02-19,2222,10,Holidays,Hotel Stays
264,265,-35.21,2023-09-28,3333,14,Leisure,Bar
265,266,-186.73,2024-06-17,1111,2,Car,Maintenance
266,267,-54.36,2024-11-25,2222,21,Health,Pharmacy
267,268,-32.69,2025-06-05,1111,5,Home Expenses,Water
268,269,-158.42,2023-04-01,1111,10,Holidays,Hotel Stays
269,270,-180.75,2024-07-29,3333,18,Health,Medical Appointments
270,271,-93.36,2024-08-02,2222,13,Leisure,Activities
271,272,-71.48,2024-06-24,3333,16,Leisure,Restaurant
272,273,492.2,2023-12-04,2222,12,Income,Investiments
273,274,-298.53,2023-11-06,3333,28,Clothing,Clothes
274,275,-33.65,2025-06-20,1111,26,Public Transports,Bus
275,276,-112.7,2024-04-15,1111,7,Home Expenses,Heating
276,277,-156.97,2023-12-01,3333,2,Car,Maintenance
277,278,-76.74,2025-10-10,1111,16,Leisure,Restaurant
278,279,-66.35,2025-09-20,2222,16,Leisure,Restaurant
279,280,-66.87,2023-10-31,1111,18,Health,Medical Appointments
280,281,-18.42,2024-08-04,1111,13,Leisure,Activities
281,282,-124.99,2024-07-12,3333,6,Home Expenses,Electricity
282,283,-31.36,2023-01-09,3333,26,Public Transports,Bus
283,284,-226.4,2023-06-07,1111,23,Taxes,Income Taxes
284,285,-151.54,2024-11-04,1111,18,Health,Medical Appointments
285,286,-220.33,2023-09-07,2222,11,Holidays,Extra Holiday Expenses
286,287,-63.13,2023-08-06,2222,13,Leisure,Activities
287,288,-30.87,2025-07-31,3333,5,Home Expenses,Water
288,289,-26.59,2024-07-05,3333,26,Public Transports,Bus
289,290,-5.26,2023-03-31,3333,26,Public Transports,Bus
290,291,-77.54,2024-10-27,3333,16,Leisure,Restaurant
291,292,-274.86,2023-09-22,1111,28,Clothing,Clothes
292,293,-246.42,2024-08-02,2222,2,Car,Maintenance
293,294,-230.83,2025-02-20,1111,2,Car,Maintenance
294,295,-16.48,2024-05-06,2222,14,Leisure,Bar
295,296,-23.69,2024-03-02,1111,3,Purchases,Home Items
296,297,-40.08,2024-08-06,3333,14,Leisure,Bar
297,298,-23.87,2024-09-03,2222,25,Public Transports,Train
298,299,-233.97,2024-09-27,3333,15,Groceries,Groceries
299,300,-20.0,2025-04-01,2222,24,Telecom,Telecom
300,301,-27.99,2025-07-01,2222,21,Health,Pharmacy
301,302,-90.27,2025-05-16,1111,18,Health,Medical Appointments
302,303,-252.75,2024-01-17,2222,15,Groceries,Groceries
303,304,-48.34,2023-03-24,3333,25,Public Transports,Train
304,305,975.94,2024-04-04,3333,12,Income,Investiments
305,306,-37.11,2025-10-11,3333,26,Public Transports,Bus
306,307,-68.25,2023-06-21,2222,25,Public Transports,Train
307,308,-76.86,2025-09-05,2222,16,Leisure,Restaurant
308,309,-59.53,2024-09-07,1111,5,Home Expenses,Water
309,310,-48.5,2023-04-08,3333,21,Health,Pharmacy
310,311,-185.11,2025-11-17,1111,3,Purchases,Home Items
311,312,-48.24,2023-07-13,2222,21,Health,Pharmacy
312,313,-37.41,2024-06-02,2222,26,Public Transports,Bus
313,314,-392.78,2025-10-28,1111,10,Holidays,Hotel Stays
314,315,-753.49,2025-08-05,1111,4,Purchases,Electronics
315,316,-134.29,2023-04-03,1111,6,Home Expenses,Electricity
316,317,-269.19,2024-09-01,2222,15,Groceries,Groceries
317,318,-606.87,2025-07-10,3333,23,Taxes,Income Taxes
318,319,-270.67,2024-01-19,1111,10,Holidays,Hotel Stays
319,320,-57.82,2024-06-15,3333,6,Home Expenses,Electricity
320,321,-462.11,2023-02-06,1111,4,Purchases,Electronics
321,322,-10.25,2023-12-18,3333,14,Leisure,Bar
322,323,-119.02,2025-04-09,3333,18,Health,Medical Appointments
323,324,-192.51,2025-09-23,2222,28,Clothing,Clothes
324,325,-70.66,2025-01-08,3333,16,Leisure,Restaurant
325,326,-48.34,2025-03-19,2222,26,Public Transports,Bus
326,327,-42.52,2023-01-29,1111,3,Purchases,Home Items
327,328,-825.17,2024-01-21,1111,4,Purchases,Electronics
328,329,-185.85,2023-10-25,3333,7,Home Expenses,Heating
329,330,-635.79,2024-01-26,1111,9,Holidays,Airplane
330,331,-242.43,2023-10-31,2222,11,Holidays,Extra Holiday Expenses
331,332,-55.45,2023-12-07,1111,15,Groceries,Groceries
332,333,-219.7,2025-09-20,2222,28,Clothing,Clothes
333,334,-135.98,2024-05-11,1111,1,Car,Fuel
334,335,-192.36,2025-03-13,1111,11,Holidays,Extra Holiday Expenses
335,336,107.09,2025-06-03,2222,12,Income,Investiments
336,337,-160.56,2024-08-18,1111,18,Health,Medical Appointments
337,338,-109.95,2025-11-17,3333,18,Health,Medical Appointments
338,339,-195.1,2025-09-26,1111,28,Clothing,Clothes
339,340,-30.93,2023-02-08,2222,27,Clothing,Shoes
340,341,-321.1,2023-05-11,2222,23,Taxes,Income Taxes
341,342,-47.54,2025-08-27,1111,25,Public Transports,Train
342,343,-143.4,2024-12-11,2222,18,Health,Medical Appointments
343,344,-98.52,2023-11-27,2222,27,Clothing,Shoes
344,345,-81.89,2024-12-05,2222,28,Clothing,Clothes
345,346,-707.64,2024-11-25,3333,9,Holidays,Airplane
346,347,-138.25,2023-09-26,2222,27,Clothing,Shoes
347,348,-222.07,2025-05-03,3333,28,Clothing,Clothes
348,349,-76.11,2025-08-25,1111,25,Public Transports,Train
349,350,-20.0,2025-02-02,3333,24,Telecom,Telecom
350,351,-69.36,2024-02-13,1111,18,Health,Medical Appointments
351,352,-54.61,2025-05-01,2222,16,Leisure,Restaurant
352,353,-108.68,2023-04-07,1111,11,Holidays,Extra Holiday Expenses
353,354,-89.28,2025-01-01,3333,13,Leisure,Activities
354,355,-67.47,2025-10-28,1111,6,Home Expenses,Electricity
355,356,-80.79,2023-08-22,3333,3,Purchases,Home Items
356,357,-320.69,2024-04-03,2222,9,Holidays,Airplane
357,358,-596.83,2024-12-28,1111,10,Holidays,Hotel Stays
358,359,-41.4,2023-11-06,3333,16,Leisure,Restaurant
359,360,-64.39,2023-08-02,3333,21,Health,Pharmacy
360,361,-280.19,2025-06-15,2222,2,Car,Maintenance
361,362,-975.93,2023-07-28,3333,4,Purchases,Electronics
362,363,-166.97,2023-12-09,3333,2,Car,Maintenance
363,364,-877.33,2025-01-10,1111,4,Purchases,Electronics
364,365,-108.87,2025-06-23,3333,28,Clothing,Clothes
365,366,-159.88,2023-07-23,1111,18,Health,Medical Appointments
366,367,-42.74,2023-10-10,1111,25,Public Transports,Train
367,368,-176.6,2025-05-01,1111,7,Home Expenses,Heating
368,369,-1034.81,2025-08-28,2222,9,Holidays,Airplane
369,370,-176.26,2023-06-24,2222,11,Holidays,Extra Holiday Expenses
370,371,-74.37,2025-04-29,2222,13,Leisure,Activities
371,372,-69.85,2023-11-07,3333,25,Public Transports,Train
372,373,-246.8,2023-10-10,2222,15,Groceries,Groceries
373,374,-279.51,2025-07-28,3333,15,Groceries,Groceries
374,375,-21.28,2023-03-02,2222,26,Public Transports,Bus
375,376,-53.1,2025-11-25,1111,5,Home Expenses,Water
376,377,-80.89,2025-04-02,1111,3,Purchases,Home Items
377,378,-65.37,2023-03-17,3333,15,Groceries,Groceries
378,379,-23.59,2023-04-29,3333,25,Public Transports,Train
379,380,-163.83,2024-08-28,2222,27,Clothing,Shoes
380,381,-44.86,2024-09-15,3333,14,Leisure,Bar
381,382,-114.7,2024-12-05,1111,28,Clothing,Clothes
382,383,-550.1,2023-10-28,3333,10,Holidays,Hotel Stays
383,384,-25.08,2024-02-25,3333,14,Leisure,Bar
384,385,-69.42,2025-06-24,3333,16,Leisure,Restaurant
385,386,-89.89,2025-04-08,1111,13,Leisure,Activities
386,387,-71.07,2024-11-16,2222,11,Holidays,Extra Holiday Expenses
387,388,-224.1,2023-09-16,3333,28,Clothing,Clothes
388,389,-42.71,2023-07-10,3333,16,Leisure,Restaurant
389,390,-44.98,2024-11-28,3333,16,Leisure,Restaurant
390,391,-52.34,2024-06-13,1111,6,Home Expenses,Electricity
391,392,-231.63,2025-10-31,1111,11,Holidays,Extra Holiday Expenses
392,393,-46.19,2025-02-02,2222,28,Clothing,Clothes
393,394,-55.67,2023-09-11,1111,25,Public Transports,Train
394,395,-94.72,2025-07-08,2222,25,Public Transports,Train
395,396,-615.8,2025-07-17,2222,23,Taxes,Income Taxes
396,397,-1005.39,2024-04-23,2222,9,Holidays,Airplane
397,398,-121.13,2023-10-14,3333,11,Holidays,Extra Holiday Expenses
398,399,-28.38,2024-05-22,1111,14,Leisure,Bar
399,400,564.81,2024-01-30,2222,12,Income,Investiments
400,401,-32.74,2025-05-21,2222,16,Leisure,Restaurant
401,402,-36.6,2025-05-20,1111,3,Purchases,Home Items
402,403,-82.22,2023-06-09,2222,18,Health,Medical Appointments
403,404,-28.68,2025-03-19,2222,26,Public Transports,Bus
404,405,-449.18,2025-05-17,2222,23,Taxes,Income Taxes
405,406,-187.59,2025-09-29,3333,27,Clothing,Shoes
406,407,-255.95,2023-10-23,3333,15,Groceries,Groceries
407,408,-44.54,2025-07-26,1111,5,Home Expenses,Water
408,409,-112.37,2023-08-30,3333,27,Clothing,Shoes
409,410,-180.2,2023-03-08,3333,7,Home Expenses,Heating
410,411,-144.41,2025-01-26,1111,6,Home Expenses,Electricity
411,412,-20.0,2025-07-04,1111,24,Telecom,Telecom
412,413,-61.46,2023-03-24,3333,13,Leisure,Activities
413,414,-33.53,2024-09-16,2222,5,Home Expenses,Water
414,415,-123.5,2023-02-27,1111,11,Holidays,Extra Holiday Expenses
415,416,-53.51,2025-05-13,1111,5,Home Expenses,Water
416,417,-272.26,2024-03-17,1111,11,Holidays,Extra Holiday Expenses
417,418,-161.97,2023-09-08,3333,28,Clothing,Clothes
418,419,-16.08,2023-04-02,2222,13,Leisure,Activities
419,420,-135.96,2025-07-15,2222,18,Health,Medical Appointments
420,421,-26.39,2023-09-29,1111,14,Leisure,Bar
421,422,-67.28,2025-07-10,3333,21,Health,Pharmacy
422,423,-39.37,2024-10-28,1111,16,Leisure,Restaurant
423,424,-63.23,2025-04-18,2222,16,Leisure,Restaurant
424,425,-1100.24,2024-11-25,3333,9,Holidays,Airplane
425,426,-288.68,2025-06-26,3333,2,Car,Maintenance
426,427,-422.96,2023-12-06,3333,10,Holidays,Hotel Stays
427,428,-107.2,2024-09-24,3333,1,Car,Fuel
428,429,-21.14,2023-06-24,1111,25,Public Transports,Train
429,430,-20.0,2024-04-05,3333,24,Telecom,Telecom
430,431,-27.05,2025-09-01,3333,21,Health,Pharmacy
431,432,-62.03,2024-01-04,1111,1,Car,Fuel
432,433,-493.38,2024-05-17,3333,10,Holidays,Hotel Stays
433,434,-410.96,2024-10-18,2222,23,Taxes,Income Taxes
434,435,-131.49,2023-02-17,2222,23,Taxes,Income Taxes
435,436,-95.13,2023-02-19,3333,15,Groceries,Groceries
436,437,443.81,2023-07-06,1111,12,Income,Investiments
437,438,-564.69,2024-08-07,1111,4,Purchases,Electronics
438,439,-75.56,2023-07-03,1111,6,Home Expenses,Electricity
439,440,-288.04,2023-12-13,1111,11,Holidays,Extra Holiday Expenses
440,441,-78.06,2024-01-07,1111,16,Leisure,Restaurant
441,442,-30.53,2025-03-09,1111,27,Clothing,Shoes
442,443,228.21,2024-10-25,2222,12,Income,Investiments
443,444,-47.37,2023-09-05,1111,14,Leisure,Bar
444,445,-132.72,2024-04-29,2222,7,Home Expenses,Heating
445,446,-77.72,2025-02-27,1111,21,Health,Pharmacy
446,447,-130.32,2025-08-09,3333,10,Holidays,Hotel Stays
447,448,-66.36,2023-03-01,2222,15,Groceries,Groceries
448,449,-31.04,2023-02-08,2222,25,Public Transports,Train
