id_expense;value;date;account_number;category_id;main_category;secondary_category
146;-157.87;13/07/2024;3333;27;Clothing;Shoes
147;-21.02;08/04/2025;2222;14;Leisure;Bar
148;-35.1;20/07/2025;1111;21;Health;Pharmacy
149;-288.16;15/10/2025;1111;4;Purchases;Electronics
150;-94.82;02/03/2023;1111;25;Public Transports;Train
151;-44.27;20/05/2023;2222;28;Clothing;Clothes
152;-6.2;02/01/2024;2222;26;Public Transports;Bus
153;-63.96;09/11/2023;2222;16;Leisure;Restaurant
154;-20;02/08/2024;3333;24;Telecom;Telecom
155;-79.08;12/08/2025;1111;21;Health;Pharmacy
156;-215.52;01/10/2025;3333;11;Holidays;Extra Holiday Expenses
157;-371.22;06/02/2023;1111;10;Holidays;Hotel Stays
158;-270.03;01/09/2023;2222;15;Groceries;Groceries
159;-60.89;09/02/2025;2222;16;Leisure;Restaurant
160;-24.68;29/12/2023;3333;16;Leisure;Restaurant
161;-43.72;12/09/2024;3333;26;Public Transports;Bus
162;-99.15;03/10/2023;2222;6;Home Expenses;Electricity
163;-90.03;13/08/2023;3333;27;Clothing;Shoes
164;-27.07;20/08/2025;2222;26;Public Transports;Bus
165;-88.35;03/11/2025;1111;16;Leisure;Restaurant
166;-16.85;12/02/2025;3333;14;Leisure;Bar
167;-20.87;05/08/2024;2222;26;Public Transports;Bus
168;-37.6;03/04/2023;1111;2;Car;Maintenance
169;-41.4;25/02/2023;3333;13;Leisure;Activities
170;442.52;26/05/2025;2222;12;Income;Investiments
171;-47.07;26/04/2023;3333;13;Leisure;Activities
172;-447.61;01/10/2024;3333;9;Holidays;Airplane
173;-183.87;15/05/2023;2222;3;Purchases;Home Items
174;-370.71;10/02/2023;3333;4;Purchases;Electronics
175;133.64;15/05/2025;3333;12;Income;Investiments
176;-91.13;30/06/2024;1111;21;Health;Pharmacy
177;-104.55;15/02/2023;2222;27;Clothing;Shoes
178;-30.67;22/10/2024;3333;14;Leisure;Bar
179;-817.91;24/07/2023;3333;4;Purchases;Electronics
180;-14.27;14/10/2025;3333;26;Public Transports;Bus
181;-20.28;05/09/2024;2222;26;Public Transports;Bus
182;-100.44;04/06/2023;3333;15;Groceries;Groceries
183;-143.22;08/04/2023;2222;7;Home Expenses;Heating
184;-381.42;07/04/2024;3333;23;Taxes;Income Taxes
185;-288.64;14/07/2023;3333;28;Clothing;Clothes
186;346.03;31/08/2025;2222;12;Income;Investiments
187;-156.41;07/06/2023;3333;7;Home Expenses;Heating
188;-176.16;06/09/2024;2222;11;Holidays;Extra Holiday Expenses
189;-29.3;14/02/2024;2222;26;Public Transports;Bus
190;-16.31;21/11/2025;2222;14;Leisure;Bar
191;-39.35;05/01/2024;1111;26;Public Transports;Bus
192;-73.3;18/01/2024;3333;25;Public Transports;Train
193;-81.94;15/08/2025;2222;18;Health;Medical Appointments
194;-57.94;07/06/2025;3333;25;Public Transports;Train
195;-199.22;15/02/2024;2222;28;Clothing;Clothes
196;-39.21;05/11/2023;3333;16;Leisure;Restaurant
197;-39.45;10/06/2025;2222;26;Public Transports;Bus
198;874.17;12/05/2023;3333;12;Income;Investiments
199;-266.11;30/06/2024;2222;7;Home Expenses;Heating
200;-24.45;28/04/2024;2222;25;Public Transports;Train
201;-313.56;29/01/2024;1111;9;Holidays;Airplane
202;-997.04;27/09/2024;2222;9;Holidays;Airplane
203;-133.97;12/06/2025;2222;18;Health;Medical Appointments
204;-91.51;18/02/2024;1111;25;Public Transports;Train
205;-168.22;13/06/2024;2222;10;Holidays;Hotel Stays
206;-29.78;28/03/2023;3333;26;Public Transports;Bus
207;-167.34;24/04/2023;1111;18;Health;Medical Appointments
208;641.44;11/05/2023;2222;12;Income;Investiments
209;-70.45;04/07/2023;2222;13;Leisure;Activities
210;-257.54;28/04/2024;1111;28;Clothing;Clothes
211;-614.14;05/09/2023;3333;23;Taxes;Income Taxes
212;-42.3;30/05/2024;2222;26;Public Transports;Bus
213;-62.85;08/09/2023;2222;3;Purchases;Home Items
214;849.1;09/03/2025;3333;12;Income;Investiments
215;-93.7;16/05/2025;1111;28;Clothing;Clothes
216;-33.2;14/03/2024;2222;5;Home Expenses;Water
217;-73.09;25/04/2023;2222;16;Leisure;Restaurant
218;-49.98;20/08/2023;2222;22;Taxes;Documents
219;-53.9;19/05/2024;2222;16;Leisure;Restaurant
220;-40.89;23/01/2025;2222;5;Home Expenses;Water
221;-114.54;13/03/2023;3333;1;Car;Fuel
222;-40.95;22/04/2023;3333;26;Public Transports;Bus
223;-15.79;26/02/2025;2222;26;Public Transports;Bus
224;-96.26;13/01/2025;3333;25;Public Transports;Train
225;-558.17;29/04/2024;2222;4;Purchases;Electronics
226;-5.35;15/03/2025;2222;14;Leisure;Bar
227;-72.56;27/04/2024;2222;11;Holidays;Extra Holiday Expenses
228;-269.07;25/11/2023;2222;7;Home Expenses;Heating
229;-38.55;12/04/2025;1111;25;Public Transports;Train
230;-533.22;03/10/2025;2222;10;Holidays;Hotel Stays
231;-141.5;12/11/2024;3333;28;Clothing;Clothes
232;-269.19;25/07/2023;1111;15;Groceries;Groceries
233;-66.97;16/05/2023;2222;27;Clothing;Shoes
234;-200.53;31/10/2024;2222;15;Groceries;Groceries
235;-24.92;17/04/2023;3333;27;Clothing;Shoes
236;-26.54;27/06/2025;3333;25;Public Transports;Train
237;-30.09;14/02/2024;3333;5;Home Expenses;Water
238;-128.43;18/06/2023;1111;11;Holidays;Extra Holiday Expenses
239;-74.96;24/09/2023;3333;6;Home Expenses;Electricity
240;-23.46;16/10/2024;2222;26;Public Transports;Bus
241;-181.03;01/10/2023;2222;18;Health;Medical Appointments
242;-118.75;01/11/2024;2222;6;Home Expenses;Electricity
243;-98.57;22/01/2025;1111;7;Home Expenses;Heating
244;-44.44;04/04/2024;1111;14;Leisure;Bar
245;-142.31;13/04/2024;1111;1;Car;Fuel
246;-45.77;12/12/2023;1111;16;Leisure;Restaurant
247;-32.81;16/06/2024;1111;14;Leisure;Bar
248;-192.45;15/12/2023;3333;3;Purchases;Home Items
249;-63.41;10/06/2025;2222;4;Purchases;Electronics
250;-27.24;04/04/2024;3333;26;Public Transports;Bus
251;-121.92;29/06/2024;2222;7;Home Expenses;Heating
252;-163.43;24/09/2023;2222;28;Clothing;Clothes
253;-212.02;02/08/2024;3333;7;Home Expenses;Heating
254;-13.52;05/01/2024;2222;26;Public Transports;Bus
255;-30.86;20/06/2024;1111;5;Home Expenses;Water
256;-52.55;23/05/2024;2222;16;Leisure;Restaurant
257;-578.99;27/07/2025;1111;23;Taxes;Income Taxes
258;-96.89;24/10/2024;3333;1;Car;Fuel
259;-35.91;24/02/2025;3333;14;Leisure;Bar
260;-234.03;08/06/2024;1111;15;Groceries;Groceries
261;-579.15;17/04/2023;2222;4;Purchases;Electronics
262;-670.93;26/12/2024;3333;9;Holidays;Airplane
263;-48.52;04/04/2023;1111;26;Public Transports;Bus
264;-352.27;19/02/2025;2222;10;Holidays;Hotel Stays
265;-35.21;28/09/2023;3333;14;Leisure;Bar
266;-186.73;17/06/2024;1111;2;Car;Maintenance
267;-54.36;25/11/2024;2222;21;Health;Pharmacy
268;-32.69;05/06/2025;1111;5;Home Expenses;Water
269;-158.42;01/04/2023;1111;10;Holidays;Hotel Stays
270;-180.75;29/07/2024;3333;18;Health;Medical Appointments
271;-93.36;02/08/2024;2222;13;Leisure;Activities
272;-71.48;24/06/2024;3333;16;Leisure;Restaurant
273;492.2;04/12/2023;2222;12;Income;Investiments
274;-298.53;06/11/2023;3333;28;Clothing;Clothes
275;-33.65;20/06/2025;1111;26;Public Transports;Bus
276;-112.7;15/04/2024;1111;7;Home Expenses;Heating
277;-156.97;01/12/2023;3333;2;Car;Maintenance
278;-76.74;10/10/2025;1111;16;Leisure;Restaurant
279;-66.35;20/09/2025;2222;16;Leisure;Restaurant
280;-66.87;31/10/2023;1111;18;Health;Medical Appointments
281;-18.42;04/08/2024;1111;13;Leisure;Activities
282;-124.99;12/07/2024;3333;6;Home Expenses;Electricity
283;-31.36;09/01/2023;3333;26;Public Transports;Bus
284;-226.4;07/06/2023;1111;23;Taxes;Income Taxes
285;-151.54;04/11/2024;1111;18;Health;Medical Appointments
286;-220.33;07/09/2023;2222;11;Holidays;Extra Holiday Expenses
287;-63.13;06/08/2023;2222;13;Leisure;Activities
288;-30.87;31/07/2025;3333;5;Home Expenses;Water
289;-26.59;05/07/2024;3333;26;Public Transports;Bus
290;-5.26;31/03/2023;3333;26;Public Transports;Bus
291;-77.54;27/10/2024;3333;16;Leisure;Restaurant
292;-274.86;22/09/2023;1111;28;Clothing;Clothes
293;-246.42;02/08/2024;2222;2;Car;Maintenance
294;-230.83;20/02/2025;1111;2;Car;Maintenance
295;-16.48;06/05/2024;2222;14;Leisure;Bar
296;-23.69;02/03/2024;1111;3;Purchases;Home Items
297;-40.08;06/08/2024;3333;14;Leisure;Bar
298;-23.87;03/09/2024;2222;25;Public Transports;Train
299;-233.97;27/09/2024;3333;15;Groceries;Groceries
300;-20;01/04/2025;2222;24;Telecom;Telecom
301;-27.99;01/07/2025;2222;21;Health;Pharmacy
302;-90.27;16/05/2025;1111;18;Health;Medical Appointments
303;-252.75;17/01/2024;2222;15;Groceries;Groceries
304;-48.34;24/03/2023;3333;25;Public Transports;Train
305;975.94;04/04/2024;3333;12;Income;Investiments
306;-37.11;11/10/2025;3333;26;Public Transports;Bus
307;-68.25;21/06/2023;2222;25;Public Transports;Train
308;-76.86;05/09/2025;2222;16;Leisure;Restaurant
309;-59.53;07/09/2024;1111;5;Home Expenses;Water
310;-48.5;08/04/2023;3333;21;Health;Pharmacy
311;-185.11;17/11/2025;1111;3;Purchases;Home Items
312;-48.24;13/07/2023;2222;21;Health;Pharmacy
313;-37.41;02/06/2024;2222;26;Public Transports;Bus
314;-392.78;28/10/2025;1111;10;Holidays;Hotel Stays
315;-753.49;05/08/2025;1111;4;Purchases;Electronics
316;-134.29;03/04/2023;1111;6;Home Expenses;Electricity
317;-269.19;01/09/2024;2222;15;Groceries;Groceries
318;-606.87;10/07/2025;3333;23;Taxes;Income Taxes
319;-270.67;19/01/2024;1111;10;Holidays;Hotel Stays
320;-57.82;15/06/2024;3333;6;Home Expenses;Electricity
321;-462.11;06/02/2023;1111;4;Purchases;Electronics
322;-10.25;18/12/2023;3333;14;Leisure;Bar
323;-119.02;09/04/2025;3333;18;Health;Medical Appointments
324;-192.51;23/09/2025;2222;28;Clothing;Clothes
325;-70.66;08/01/2025;3333;16;Leisure;Restaurant
326;-48.34;19/03/2025;2222;26;Public Transports;Bus
327;-42.52;29/01/2023;1111;3;Purchases;Home Items
328;-825.17;21/01/2024;1111;4;Purchases;Electronics
329;-185.85;25/10/2023;3333;7;Home Expenses;Heating
330;-635.79;26/01/2024;1111;9;Holidays;Airplane
331;-242.43;31/10/2023;2222;11;Holidays;Extra Holiday Expenses
332;-55.45;07/12/2023;1111;15;Groceries;Groceries
333;-219.7;20/09/2025;2222;28;Clothing;Clothes
334;-135.98;11/05/2024;1111;1;Car;Fuel
335;-192.36;13/03/2025;1111;11;Holidays;Extra Holiday Expenses
336;107.09;03/06/2025;2222;12;Income;Investiments
337;-160.56;18/08/2024;1111;18;Health;Medical Appointments
338;-109.95;17/11/2025;3333;18;Health;Medical Appointments
339;-195.1;26/09/2025;1111;28;Clothing;Clothes
340;-30.93;08/02/2023;2222;27;Clothing;Shoes
341;-321.1;11/05/2023;2222;23;Taxes;Income Taxes
342;-47.54;27/08/2025;1111;25;Public Transports;Train
343;-143.4;11/12/2024;2222;18;Health;Medical Appointments
344;-98.52;27/11/2023;2222;27;Clothing;Shoes
345;-81.89;05/12/2024;2222;28;Clothing;Clothes
346;-707.64;25/11/2024;3333;9;Holidays;Airplane
347;-138.25;26/09/2023;2222;27;Clothing;Shoes
348;-222.07;03/05/2025;3333;28;Clothing;Clothes
349;-76.11;25/08/2025;1111;25;Public Transports;Train
350;-20;02/02/2025;3333;24;Telecom;Telecom
351;-69.36;13/02/2024;1111;18;Health;Medical Appointments
352;-54.61;01/05/2025;2222;16;Leisure;Restaurant
353;-108.68;07/04/2023;1111;11;Holidays;Extra Holiday Expenses
354;-89.28;01/01/2025;3333;13;Leisure;Activities
355;-67.47;28/10/2025;1111;6;Home Expenses;Electricity
356;-80.79;22/08/2023;3333;3;Purchases;Home Items
357;-320.69;03/04/2024;2222;9;Holidays;Airplane
358;-596.83;28/12/2024;1111;10;Holidays;Hotel Stays
359;-41.4;06/11/2023;3333;16;Leisure;Restaurant
360;-64.39;02/08/2023;3333;21;Health;Pharmacy
361;-280.19;15/06/2025;2222;2;Car;Maintenance
362;-975.93;28/07/2023;3333;4;Purchases;Electronics
363;-166.97;09/12/2023;3333;2;Car;Maintenance
364;-877.33;10/01/2025;1111;4;Purchases;Electronics
365;-108.87;23/06/2025;3333;28;Clothing;Clothes
366;-159.88;23/07/2023;1111;18;Health;Medical Appointments
367;-42.74;10/10/2023;1111;25;Public Transports;Train
368;-176.6;01/05/2025;1111;7;Home Expenses;Heating
369;-1034.81;28/08/2025;2222;9;Holidays;Airplane
370;-176.26;24/06/2023;2222;11;Holidays;Extra Holiday Expenses
371;-74.37;29/04/2025;2222;13;Leisure;Activities
372;-69.85;07/11/2023;3333;25;Public Transports;Train
373;-246.8;10/10/2023;2222;15;Groceries;Groceries
374;-279.51;28/07/2025;3333;15;Groceries;Groceries
375;-21.28;02/03/2023;2222;26;Public Transports;Bus
376;-53.1;25/11/2025;1111;5;Home Expenses;Water
377;-80.89;02/04/2025;1111;3;Purchases;Home Items
378;-65.37;17/03/2023;3333;15;Groceries;Groceries
379;-23.59;29/04/2023;3333;25;Public Transports;Train
380;-163.83;28/08/2024;2222;27;Clothing;Shoes
381;-44.86;15/09/2024;3333;14;Leisure;Bar
382;-114.7;05/12/2024;1111;28;Clothing;Clothes
383;-550.1;28/10/2023;3333;10;Holidays;Hotel Stays
384;-25.08;25/02/2024;3333;14;Leisure;Bar
385;-69.42;24/06/2025;3333;16;Leisure;Restaurant
386;-89.89;08/04/2025;1111;13;Leisure;Activities
387;-71.07;16/11/2024;2222;11;Holidays;Extra Holiday Expenses
388;-224.1;16/09/2023;3333;28;Clothing;Clothes
389;-42.71;10/07/2023;3333;16;Leisure;Restaurant
390;-44.98;28/11/2024;3333;16;Leisure;Restaurant
391;-52.34;13/06/2024;1111;6;Home Expenses;Electricity
392;-231.63;31/10/2025;1111;11;Holidays;Extra Holiday Expenses
393;-46.19;02/02/2025;2222;28;Clothing;Clothes
394;-55.67;11/09/2023;1111;25;Public Transports;Train
395;-94.72;08/07/2025;2222;25;Public Transports;Train
396;-615.8;17/07/2025;2222;23;Taxes;Income Taxes
397;-1005.39;23/04/2024;2222;9;Holidays;Airplane
398;-121.13;14/10/2023;3333;11;Holidays;Extra Holiday Expenses
399;-28.38;22/05/2024;1111;14;Leisure;Bar
400;564.81;30/01/2024;2222;12;Income;Investiments
401;-32.74;21/05/2025;2222;16;Leisure;Restaurant
402;-36.6;20/05/2025;1111;3;Purchases;Home Items
403;-82.22;09/06/2023;2222;18;Health;Medical Appointments
404;-28.68;19/03/2025;2222;26;Public Transports;Bus
405;-449.18;17/05/2025;2222;23;Taxes;Income Taxes
406;-187.59;29/09/2025;3333;27;Clothing;Shoes
407;-255.95;23/10/2023;3333;15;Groceries;Groceries
408;-44.54;26/07/2025;1111;5;Home Expenses;Water
409;-112.37;30/08/2023;3333;27;Clothing;Shoes
410;-180.2;08/03/2023;3333;7;Home Expenses;Heating
411;-144.41;26/01/2025;1111;6;Home Expenses;Electricity
412;-20;04/07/2025;1111;24;Telecom;Telecom
413;-61.46;24/03/2023;3333;13;Leisure;Activities
414;-33.53;16/09/2024;2222;5;Home Expenses;Water
415;-123.5;27/02/2023;1111;11;Holidays;Extra Holiday Expenses
416;-53.51;13/05/2025;1111;5;Home Expenses;Water
417;-272.26;17/03/2024;1111;11;Holidays;Extra Holiday Expenses
418;-161.97;08/09/2023;3333;28;Clothing;Clothes
419;-16.08;02/04/2023;2222;13;Leisure;Activities
420;-135.96;15/07/2025;2222;18;Health;Medical Appointments
421;-26.39;29/09/2023;1111;14;Leisure;Bar
422;-67.28;10/07/2025;3333;21;Health;Pharmacy
423;-39.37;28/10/2024;1111;16;Leisure;Restaurant
424;-63.23;18/04/2025;2222;16;Leisure;Restaurant
425;-1100.24;25/11/2024;3333;9;Holidays;Airplane
426;-288.68;26/06/2025;3333;2;Car;Maintenance
427;-422.96;06/12/2023;3333;10;Holidays;Hotel Stays
428;-107.2;24/09/2024;3333;1;Car;Fuel
429;-21.14;24/06/2023;1111;25;Public Transports;Train
430;-20;05/04/2024;3333;24;Telecom;Telecom
431;-27.05;01/09/2025;3333;21;Health;Pharmacy
432;-62.03;04/01/2024;1111;1;Car;Fuel
433;-493.38;17/05/2024;3333;10;Holidays;Hotel Stays
434;-410.96;18/10/2024;2222;23;Taxes;Income Taxes
435;-131.49;17/02/2023;2222;23;Taxes;Income Taxes
436;-95.13;19/02/2023;3333;15;Groceries;Groceries
437;443.81;06/07/2023;1111;12;Income;Investiments
438;-564.69;07/08/2024;1111;4;Purchases;Electronics
439;-75.56;03/07/2023;1111;6;Home Expenses;Electricity
440;-288.04;13/12/2023;1111;11;Holidays;Extra Holiday Expenses
441;-78.06;07/01/2024;1111;16;Leisure;Restaurant
442;-30.53;09/03/2025;1111;27;Clothing;Shoes
443;228.21;25/10/2024;2222;12;Income;Investiments
444;-47.37;05/09/2023;1111;14;Leisure;Bar
445;-132.72;29/04/2024;2222;7;Home Expenses;Heating
446;-77.72;27/02/2025;1111;21;Health;Pharmacy
447;-130.32;09/08/2025;3333;10;Holidays;Hotel Stays
448;-66.36;01/03/2023;2222;15;Groceries;Groceries
449;-31.04;08/02/2023;2222;25;Public Transports;Train
450;-97.08;27/07/2023;1111;16;Leisure;Restaurant
451;-72.12;15/09/2023;2222;22;Taxes;Documents
452;-384.72;21/06/2023;3333;23;Taxes;Income Taxes
453;-28.31;19/10/2023;2222;21;Health;Pharmacy
454;-98.82;17/05/2024;3333;16;Leisure;Restaurant
455;-290.34;14/07/2025;1111;15;Groceries;Groceries
456;-131.26;15/08/2024;3333;1;Car;Fuel
457;-50.05;14/09/2025;2222;6;Home Expenses;Electricity
458;-42.54;17/02/2025;2222;16;Leisure;Restaurant
459;-29.15;11/11/2025;2222;25;Public Transports;Train
460;-73.58;24/05/2023;2222;2;Car;Maintenance
461;-91.15;09/09/2023;1111;3;Purchases;Home Items
462;-180.25;26/07/2024;2222;28;Clothing;Clothes
463;-214.3;13/10/2024;3333;7;Home Expenses;Heating
464;671.65;16/07/2025;2222;12;Income;Investiments
465;-862.28;20/10/2024;2222;9;Holidays;Airplane
466;-181.16;03/11/2024;1111;7;Home Expenses;Heating
467;-44.07;05/01/2023;3333;27;Clothing;Shoes
468;-50.64;20/01/2023;3333;18;Health;Medical Appointments
469;-91.32;28/09/2025;2222;6;Home Expenses;Electricity
470;-26.49;08/06/2023;3333;22;Taxes;Documents
471;-139.26;30/06/2025;3333;1;Car;Fuel
472;-385.34;09/02/2025;3333;4;Purchases;Electronics
473;-44.81;18/01/2023;1111;13;Leisure;Activities
474;-68.16;31/01/2024;2222;16;Leisure;Restaurant
475;-72.15;10/02/2023;2222;1;Car;Fuel
476;-46.46;02/01/2025;1111;26;Public Transports;Bus
477;-166.93;12/09/2024;3333;3;Purchases;Home Items
478;-434.26;08/10/2025;2222;9;Holidays;Airplane
479;-105.8;04/03/2024;1111;2;Car;Maintenance
480;-296.54;22/03/2025;1111;7;Home Expenses;Heating
481;-384.55;08/10/2025;1111;10;Holidays;Hotel Stays
482;-35.5;26/12/2023;1111;16;Leisure;Restaurant
483;-189.77;14/05/2023;1111;23;Taxes;Income Taxes
484;-566.78;11/04/2024;3333;10;Holidays;Hotel Stays
485;-241.21;28/01/2024;3333;28;Clothing;Clothes
486;-149.2;01/06/2024;3333;1;Car;Fuel
487;-90.65;05/01/2023;2222;22;Taxes;Documents
488;-70.58;17/04/2023;2222;25;Public Transports;Train
489;-261.09;13/04/2025;2222;15;Groceries;Groceries
490;-696.16;13/08/2025;2222;4;Purchases;Electronics
